Section,Output Number,Shell Template,Subgroup (from programming),Output File Name (from programming),Program Name (from programming),Analysis Set,Title,Footnote,Notes
Baseline Medications and Treatments,14.1.5.x,T_MEDS_ATC_PT,pre,t_14-1-5-x_meds_type_pre_itt,t_meds_type_pre_itt,<Analysis Set>,Prior <Systemic> Anti-Cancer Therapy by ATC and WHODrug Preferred Term,ATC: Anatomical Therapeutic Chemical; WHO: World Health Organization\Note: WHODrug X.X used for coding.,
Baseline Medications and Treatments,14.1.5.x,T_SURG,,t_14-1-5-x_surg_1_,t_surg_1_,<Analysis Set>,Prior  Surgeries and Procedures with Therapeutic Intent,Q1: the 25th percentile; Q3: the 75th percentile.,
Baseline Medications and Treatments,14.1.5.x,T_RADTHP,,t_14-1-5-x_radthp_1_,t_radthp_1_,<Analysis Set>,Prior Radiation Therapy,,
Baseline Medications and Treatments,14.1.5.x,T_MEDS_ATC_PT,pre,t_14-1-5-x_meds_atc_pt_pre_itt,t_meds_atc_pt_pre_itt,<Analysis Set>,Prior Medications by ATC and WHODrug Preferred Term,ATC: Anatomical Therapeutic Chemical; WHO: World Health Organization\Note: WHODrug X.X used for coding.,
Concomitant Non-study Medications and Treatments,14.1.6.x,T_SURG,,t_14-1-6-x_surg_2_,t_surg_2_,<Analysis Set>,On-Study Anti-Cancer Surgeries and Procedures,Q1: the 25th percentile; Q3: the 75th percentile.,
Concomitant Non-study Medications and Treatments,14.1.6.x,T_RADTHP,,t_14-1-6-x_radthp_2_,t_radthp_2_,<Analysis Set>,On-Study Anti-Cancer Radiation Therapy,,
Concomitant Non-study Medications and Treatments,14.1.6.x,T_MEDS_ATC_PT,con,t_14-1-6-x_meds_atc_pt_con_saf,t_meds_atc_pt_con_saf,<Analysis Set>,Concomitant Medications by ATC and WHODrug Preferred Term,ATC: Anatomical Therapeutic Chemical; WHO: World Health Organization\Note: WHODrug X.X used for coding.,
Concomitant Non-study Medications and Treatments,14.1.6.x,T_TRANSF,,t_14-1-6-x_transf_,t_transf_,<Analysis Set>,Concomitant Transfusions,"Note: Participants are counted at most once under each transfusion type, even if the participant received multiple\ transfusions of a given type.",
Efficacy-PFS,14.2.1.x,T_efficacy_time to event,,t_14-2-1-x_efficacy_time to event_1_,t_efficacy_time to event_1_,<Analysis Set>,Progression-Free Survival <by BICR/Investigator>,BICR: Blinded Independent Central Review; CI: Confidence Interval; CRF: Case Report Form; IRT: Interactive Response Technology.\+ indicates censored observation. \^{super 1}Hazard ratio was calculated from the <stratified Cox proportional hazards model with the stratification factors per IRT: \[list randomization stratification factors]>. Confidence intervals were based on score method (Lin \2016).  The p-value was\calculated from <stratified> log-rank test. <^{super *}Statistical significance was reached.>\{super 2}CIs were estimated using the method by Klein and Moeschberger (1997) with log-log transformation. \^{super 3}CIs were estimated using the method by Kalbfleisch and Prentice (1980) with log-log transformation.  \^{super 4}Median follow-up duration and CI are estimated using a reverse Kaplan-Meier method (Schemper and Smith 1996).,
Efficacy-PFS,14.2.1.x,T_efficacy_time to event,,t_14-2-1-x_efficacy_time to event_2_,t_efficacy_time to event_2_,<Analysis Set>,Progression-Free Survival <by BICR/Investigator>\ <Supplementary/Sensitivity Analysis>,BICR: Blinded Independent Central Review; CI: Confidence Interval; CRF: Case Report Form; IRT: Interactive Response Technology.\+ indicates censored observation. \^{super 1}Hazard ratio was calculated from the <stratified Cox proportional hazards model with the stratification factors per IRT: \[list randomization stratification factors]>. Confidence intervals were based on score method (Lin \2016).  The p-value was\calculated from <stratified> log-rank test. <^{super *}Statistical significance was reached.>\{super 2}CIs were estimated using the method by Klein and Moeschberger (1997) with log-log transformation. \^{super 3}CIs were estimated using the method by Kalbfleisch and Prentice (1980) with log-log transformation.  \^{super 4}Median follow-up duration and CI are estimated using a reverse Kaplan-Meier method (Schemper and Smith 1996).,
Efficacy-OS,14.2.2.x,T_efficacy_time to event,,t_14-2-2-x_efficacy_time to event_3_,t_efficacy_time to event_3_,<Analysis Set>,Overall Survival,BICR: Blinded Independent Central Review; CI: Confidence Interval; CRF: Case Report Form; IRT: Interactive Response Technology.\+ indicates censored observation. \^{super 1}Hazard ratio was calculated from the <stratified Cox proportional hazards model with the stratification factors per IRT: \[list randomization stratification factors]>. Confidence intervals were based on score method (Lin \2016).  The p-value was\calculated from <stratified> log-rank test. <^{super *}Statistical significance was reached.>\{super 2}CIs were estimated using the method by Klein and Moeschberger (1997) with log-log transformation. \^{super 3}CIs were estimated using the method by Kalbfleisch and Prentice (1980) with log-log transformation.  \^{super 4}Median follow-up duration and CI are estimated using a reverse Kaplan-Meier method (Schemper and Smith 1996).,
Efficacy-OS,14.2.2.x,T_efficacy_time to event,,t_14-2-2-x_efficacy_time to event_4_,t_efficacy_time to event_4_,<Analysis Set>,Overall Survival \ <Supplementary/Sensitivity Analysis>,BICR: Blinded Independent Central Review; CI: Confidence Interval; CRF: Case Report Form; IRT: Interactive Response Technology.\+ indicates censored observation. \^{super 1}Hazard ratio was calculated from the <stratified Cox proportional hazards model with the stratification factors per IRT: \[list randomization stratification factors]>. Confidence intervals were based on score method (Lin \2016).  The p-value was\calculated from <stratified> log-rank test. <^{super *}Statistical significance was reached.>\{super 2}CIs were estimated using the method by Klein and Moeschberger (1997) with log-log transformation. \^{super 3}CIs were estimated using the method by Kalbfleisch and Prentice (1980) with log-log transformation.  \^{super 4}Median follow-up duration and CI are estimated using a reverse Kaplan-Meier method (Schemper and Smith 1996).,
Efficacy- ORR,14.2.3.x,T_TUMRESP,,t_14-2-3-x_tumresp_,t_tumresp_,<Analysis Set>,Best Overall Tumor Response and Objective Response <by BICR/Investigator>,BICR: Blinded Independent Central Review; CI: Confidence Interval; CMH: Cochran–Mantel–Haenszel; CRF: Case Report Form; IxRS: \Interactive Voice/Web Response System; ORR: Objective Response Rate; DCR: Disease Control Rate; CBR: Clinical Benefit Rate. \^{super 1}Best Overall Response is assessed based on RECIST criteria (v1.1). (ADD A FOOTNOTE ON SD REQUIRED CERTAIN TIME PERIOD)\^{super 2}Calculated using the Clopper Pearson’s methods.  \^{super 3}Calculated using asymptotic confidence limits based on large number theorem. \^{super 4}Stratified factors: [list randomization stratification factors]. \^{super 5}Based on a logistic regression model with response as dependent variable and treatment arm as independent variable.,
Efficacy- ORR,14.2.3.x,T_TUMTTR,,t_14-2-3-x_tumttr_,t_tumttr_,<Analysis Set>,Time to Objective Response by <by BICR/Investigator>,BICR: Blinded Independent Central Review\^{super 1}An arithmetic summary among those with an objective response and is defined as time from randomization to the first CR or PR \that is subsequently confirmed.,
Efficacy- ORR,14.2.3.x,T_DOR,,t_14-2-3-x_dor_,t_dor_,<Analysis Set>,Duration of Response <by BICR/Investigator>,BICR: Blinded Independent Central Review; CI: Confidence Interval \+ indicates censored observation.,
Efficacy - Concordance,14.2.4.x,T_CONCORDANCEPFS,,t_14-2-4-x_concordancepfs_,t_concordancepfs_,<Analysis Set>,Concordance between BICR and Investigator in Progression-Free Survival,BICR: Blinded Independent Central Review; INV: Investigator; PFS: Progression Free Survival; PD: Progressive Disease. \^{super 1}The frequency at which INV reported PD <>2 weeks> earlier than BICR as a proportiOn of the total number of PD events by INV\)denominator N=XXX). \^{super 2}The frequency at which INV reported PD <>2 weeks> later than BICR as a proportion of the total number of discrepancies \)denominator N=XXX). .,
Efficacy - Concordance,14.2.4.x,T_CONCORDANCEOR,,t_14-2-4-x_concordanceor_,t_concordanceor_,<Analysis Set>,Concordance between BICR and Investigator in Objective Response,INV: Investigator; BICR: Blinded Independent Central Review.\Response: CR or PR.,
Subsequent Anti-Cancer Treatment,14.2.x,T_SUBSEQ_NPACT,,t_14-2-x_subseq_npact_,t_subseq_npact_,<Analysis Set>,Subsequent <Systemic> Anti-Cancer Therapy,ATC: Anatomical Therapeutic Chemical; WHO: World Health Organization\Note: WHODrug X.X used for coding.,
Subsequent Anti-Cancer Treatment,14.2.x,T_MEDS_ATC_PT,post,t_14-2-x_meds_type_post_itt,t_meds_type_post_itt,<Analysis Set>,Subsequent <Systemic> Anti-Cancer Therapy by ATC and WHODrug Preferred Term,ATC: Anatomical Therapeutic Chemical; WHO: World Health Organization\Note: WHODrug X.X used for coding.,
Efficacy - Quality of Life,14.2.6.1.1,T_QOL_CRATE,,t_14-2-6-1-1_qol_crate_1_,t_qol_crate_1_,<Analysis Set>,Questionnaire Completion Rate for EQ-5D-5L,,
Efficacy - Quality of Life,14.2.6.1.2,T_QOL_CRATE,,t_14-2-6-1-2_qol_crate_2_,t_qol_crate_2_,<Analysis Set>,Questionnaire Completion Rate for EORTC QLQ-C30,,
Efficacy - Quality of Life,14.2.6.2,T_QOL_EQ5D5L_LEVEL,,t_14-2-6-2_qol_eq5d5l_level_,t_qol_eq5d5l_level_,<Analysis Set>,EQ-5D-5L Dimension by Visit,,
Efficacy - Quality of Life,14.2.6.3,T_QOL_EQ5D5L_PROB,,t_14-2-6-3_qol_eq5d5l_prob_,t_qol_eq5d5l_prob_,<Analysis Set>,EQ-5D-5L Dimension by Visit: Subjects with Any Problems,,
Efficacy - Quality of Life,14.2.6.4,T_QOL_CHG_EQ5D5L,,t_14-2-6-4_qol_chg_eq5d5l_,t_qol_chg_eq5d5l_,<Analysis Set>,EQ-5D-5L VAS and Index by Visit,,
Efficacy - Quality of Life,14.2.6.5,T_QOL_CHG_EORTC,,t_14-2-6-5_qol_chg_eortc_,t_qol_chg_eortc_,<Analysis Set>,EORTC QLQ-C30 Scales/Items by Visit,,
Efficacy  - Health Care Resource Utilization,14.2.7.1,T_HCRU,,t_14-2-7-1_hcru_,t_hcru_,<Analysis Set>,Health Care Resource Utilization,,
Study Treatment,14.3.1.x,T_DOSEEXP,,t_14-3-1-x_doseexp_,t_doseexp_,<Analysis Set>,Duration of Treatment Exposure,^{super 1}Duration of exposure = (last dose date– first dose date+ 1)/30.4375/Q1: the 25th percentile; Q3: the 75th percentile.,
Study Treatment,14.3.1.x,T_DOSEEXPORAL,,t_14-3-1-x_doseexporal_,t_doseexporal_,<Analysis Set>,Exposure to <Study Treatment - Oral>,Q1: the 25th percentile; Q3: the 75th percentile./ ^{super 1}Duration of exposure = <(last dose date – first dose date + 1)/30.4375>,
Study Treatment,14.3.1.x,T_DOSEEXPINF,,t_14-3-1-x_doseexpinf_,t_doseexpinf_,<Analysis Set>,Exposure to <Study Treatment - Infusion>,Q1: the 25th percentile; Q3: the 75th percentile./ ^{super 1}Duration of exposure = <(last dose date – first dose date + 1)/30.4375>,
Study Treatment,14.3.2.x,T_DOSEMODORAL,,t_14-3-2-x_dosemodoral_,t_dosemodoral_,<Analysis Set>,Dose Modifications - <Study Treatment - Oral>,"Q1: the 25th percentile; Q3: the 75th percentile.\Dose modification includes [dose reduction, dose interruption)]. \^{super 1}Only participants who had the specific dose modifications due to AE were considered. \^{super 2}Duration of each dose interruption = interruption stop date - interruption start date + 1; n = number of participants who had\ dose interruptions due to AE. \^{super 3}A participant may have more than one dose interruption.",
Study Treatment,14.3.2.x,T_DOSEMODINF,,t_14-3-2-x_dosemodinf_,t_dosemodinf_,<Analysis Set>,Dose Modifications - <Study Treatment - Infusion>,"AE: Adverse Event.\Dose modification includes [dose delay, dose reduction or incomplete infusion]. \^{super 1}Only participants who had the specific dose modifications due to AE were considered.",
Adverse Events,14.3.3.x,T_AE_OV,,t_14-3-3-x_ae_ov_1_,t_ae_ov_1_,<Analysis Set>,Overview of Adverse Events,N: number of participants; TEAE: treatment-emergent adverse event; n: number of participants with event. \A TEAE is defined as <insert definition from the SAP>. \^{super 1} CTCAE Version 5.0. \^{super 2}Participants who permanently withdrew all components of a treatment regimen due to the same AE.,
Adverse Events,14.3.3.x,T_AE_OV,,t_14-3-3-x_ae_ov_2_,t_ae_ov_2_,<Analysis Set>,Overview of Treatment-Emergent Adverse Events Related to Treatment,N: number of participants; TEAE: treatment-emergent adverse event; n: number of participants with event. \A TEAE is defined as <insert definition from the SAP>. \^{super 1} CTCAE Version 5.0. \^{super 2}Participants who permanently withdrew all components of a treatment regimen due to the same AE.,
Adverse Events,14.3.3.x,T_AE2GR,,t_14-3-3-x_ae2gr_1_,t_ae2gr_1_,<Analysis Set>,"Treatment-Emergent Adverse Events by System Organ Class and Preferred Term (Any Grade, Grade 3-4)",N: number of participants; n: number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the Any Grade <Treatment 1> group within SOC; SOCs are listed by \decreasing frequency in the Any Grade <Treatment 1> group. [Standard specs will note to use alphabetical when ties \ exist] \The verbatim terms are included for those events that are not coded.,
Adverse Events,14.3.3.x,T_AE2GR,,t_14-3-3-x_ae2gr_2_,t_ae2gr_2_,<Analysis Set>,"Treatment-Emergent Adverse Events Related to Treatment by System Organ Class and Preferred Term (Any Grade, Grade 3-4)",N: number of participants; n: number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the Any Grade <Treatment 1> group within SOC; SOCs are listed by \decreasing frequency in the Any Grade <Treatment 1> group. [Standard specs will note to use alphabetical when ties \ exist] \The verbatim terms are included for those events that are not coded.,
Adverse Events,14.3.3.x,T_AE1GR,,t_14-3-3-x_ae1gr_,t_ae1gr_,<Analysis Set>,"Treatment-Emergent Adverse Events by Preferred Term (Any Grade, Grade 3-4)",N: number of participants; n: number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the Any Grade <Treatment 1> group. \The verbatim terms are included for those events that are not coded.,
Adverse Events,14.3.3.x,T_AE2GRALL,,t_14-3-3-x_ae2grall_,t_ae2grall_,<Analysis Set>,"Treatment-Emergent Adverse Events by System Organ Class, Preferred Term and Maximum Grade (Any Grad, Grades 1-5)",N: number of participants; n: number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the Any Grade <Treatment 1> group \The verbatim terms are included for those events that are not coded.,
Adverse Events,14.3.3.x,T_AE2,,t_14-3-3-x_ae2_1_,t_ae2_1_,<Analysis Set>,Serious Treatment-Emergent Adverse Events by System Organ Class and Preferred Term,N: number of participants; n: number of participants with event. \ MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,
Adverse Events,14.3.3.x,T_AE2,,t_14-3-3-x_ae2_2_,t_ae2_2_,<Analysis Set>,Serious Treatment-Emergent Adverse Events Related to Treatment by System Organ Class and Preferred Term,N: number of participants; n: number of participants with event. \ MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,
Adverse Events,14.3.3.x,T_AE1,,t_14-3-3-x_ae1_1_,t_ae1_1_,<Analysis Set>,Treatment-Emergent Adverse Events Leading to Death by Preferred Term,N: number of participants; n: number of participants with event. \ MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,
Adverse Events,14.3.3.x,T_AE1,,t_14-3-3-x_ae1_2_,t_ae1_2_,<Analysis Set>,Treatment-Emergent Adverse Events Related to <Treatment> Leading to Death by Preferred Term,N: number of participants; n: number of participants with event. \ MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,
Adverse Events,14.3.3.x,T_AE1_DC,,t_14-3-3-x_ae1_dc_,t_ae1_dc_,<Analysis Set>,Treatment-Emergent Adverse Events Leading to Permanent Withdrawal of Any Treatment by Preferred Term,N: number of participants; n: number of participants with event. \ MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,
Adverse Events,14.3.3.x,T_AE1_ALL_DC_CMBO,,t_14-3-3-x_ae1_all_dc_cmbo_,t_ae1_all_dc_cmbo_,<Analysis Set>,Treatment-Emergent Adverse Events Leading to Permanent Withdrawal of All Treatments by Preferred Term,N: number of participants; n: number of participants with event. \ Participants who permanently withdrew all components of a treatment regimen due to the same AE are summarized.\MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,
Adverse Events,14.3.3.x,T_AE1,,t_14-3-3-x_ae1_3_,t_ae1_3_,<Analysis Set>,Treatment-Emergent Adverse Events Leading to Permanent Withdrawl of Treatment  <Treatment Component > by Preferred Term,N: number of participants; n: number of participants with event. \ MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,
Adverse Events,14.3.3.x,T_AE1,,t_14-3-3-x_ae1_4_,t_ae1_4_,<Analysis Set>,Treatment-Emergent Adverse Events Leading to Interruption of <Treatment Component > by Preferred Term,N: number of participants; n: number of participants with event. \ MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,
Adverse Events,14.3.3.x,T_AE1,,t_14-3-3-x_ae1_5_,t_ae1_5_,<Analysis Set>,Treatment-Emergent Adverse Events Leading to Reduction of <Treatment Component > by Preferred Term,N: number of participants; n: number of participants with event. \ MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,
Adverse Events,14.3.3.x,T_AE1,,t_14-3-3-x_ae1_6_,t_ae1_6_,<Analysis Set>,Treatment-Emergent Adverse Events Leading to Dose Delay of <Treatment Component >by Preferred Term,N: number of participants; n: number of participants with event. \ MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,
Adverse Events,14.3.3.x,T_EAIR,,t_14-3-3-x_eair_,t_eair_,<Analysis Set>,Exposure-Adjusted Incidence Rates for <Treatment-Emergent Adverse Events>,"CI: confidence interval; EAIR: exposure adjusted incidence rate per 100 participant-years; N: number of participants; PY:\total participant years; n: number of participants with events; PYR: number of participant years at risk. MedDRA version: \26.0. \ PY is calculated as <total time (in years) of the treatment-emergent follow-up time of all participants. >\PYR is calculated as <total time (in years) of all patients from the first dose date to the first event date, or the \treatment-emergent follow-up time if there are no event.> EAIR is calculated as 100 times the number of participants \experiencing the adverse event divided by PYR.",
Adverse Events of Special Interest,14.3.3.x,T_AESI_OV,,t_14-3-3-x_aesi_ov_,t_aesi_ov_,<Analysis Set>,"Overview of Adverse Events of Special Interest (Any Grade, Grade 3-4)",AESI: adverse events of special interest; N: number of participants; n: number of participants with event. \MedDRA version: 26.0.,
Adverse Events of Special Interest,14.3.3.x,T_AESI_PT,,t_14-3-3-x_aesi_pt_,t_aesi_pt_,<Analysis Set>,"Adverse Events of Special Interest by Preferred Term (Any Grade, Grade 3-4)",N: number of participants; n: number of participants with event. \Severity Scale: CTCAE Version 5.0. MedDRA version: 26.0.,
Adverse Events of Special Interest,14.3.3.x,T_AESI,,t_14-3-3-x_aesi_,t_aesi_,<Analysis Set>,Adverse Events of Special Interest Assessment: <AESI1>,N: number of participants; PD: progression of disease; n: number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \^{super 1}Accounting for competing risks of death and PD . \^{super 2} Resolved is defined as outcome = recovered/resolved.,
Adverse Events of Special Interest,14.3.3.x,T_AESI_REC,,t_14-3-3-x_aesi_rec_,t_aesi_rec_,<Analysis Set>,Recurrence of Adverse Events of Special Interest Assessment: <AESI1>,N: number of participants; TE: treatment-emergent; n = number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \^{super 1}Resolved is defined as outcome = <recovered/resolved>; number of events is used as the denominator.,
Adverse Events of Special Interest,14.3.3.x,T_AESI_REC_INT,,t_14-3-3-x_aesi_rec_int_,t_aesi_rec_int_,<Analysis Set>,Incidence of Participants with Recurrent <AESI> Events by Time Interval,AESI: adverse events of special interest; N: number of participants; NAR: number at risk; n: number of participants with\ event. \NAR includes the number of participants who enter the time interval specified. Participants with/without an event in\ the prior intervals are included. n includes the number of participants with at least one event in the time interval\specified.,
Adverse Events - Subgroup,14.3.3.x,T_AE_SUBGP,,t_14-3-3-x_ae_subgp_1_,t_ae_subgp_1_,<Analysis Set>,Overview of Adverse Events by Demographic Subgroup (Sex),Grade: CTCAE grade; N: number of participants; Ns: number of participants for each specific subgroup; TEAE: \treatment-emergent adverse event; n = number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \^{super 1}Participants who permanently withdrew all components of a treatment regimen due to the saem AE.,
Adverse Events - Subgroup,14.3.3.x,T_AE_SUBGP,,t_14-3-3-x_ae_subgp_2_,t_ae_subgp_2_,<Analysis Set>,"Overview of Adverse Events by Demographic Subgroup (Age Group, Years)",Grade: CTCAE grade; N: number of participants; Ns: number of participants for each specific subgroup; TEAE: \treatment-emergent adverse event; n = number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \^{super 1}Participants who permanently withdrew all components of a treatment regimen due to the saem AE.,
Adverse Events - Subgroup,14.3.3.x,T_AE_SUBGP,,t_14-3-3-x_ae_subgp_3_,t_ae_subgp_3_,<Analysis Set>,Overview of Adverse Events by Demographic Subgroup (Race),Grade: CTCAE grade; N: number of participants; Ns: number of participants for each specific subgroup; TEAE: \treatment-emergent adverse event; n = number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \^{super 1}Participants who permanently withdrew all components of a treatment regimen due to the saem AE.,
Adverse Events - Subgroup,14.3.3.x,T_AE_SUBGP,,t_14-3-3-x_ae_subgp_4_,t_ae_subgp_4_,<Analysis Set>,Overview of Adverse Events by Demographic Subgroup (Ethnicity),Grade: CTCAE grade; N: number of participants; Ns: number of participants for each specific subgroup; TEAE: \treatment-emergent adverse event; n = number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \^{super 1}Participants who permanently withdrew all components of a treatment regimen due to the saem AE.,
AESI - Subgroup,14.3.3.x,T_AESI_SUBGP,,t_14-3-3-x_aesi_subgp_1_,t_aesi_subgp_1_,<Analysis Set>,Overview of Adverse Events of Special Interest by Demographic Subgroup (Sex),AESI: adverse events of special interest; N: number of participants; n: number of participants with event. \MedDRA version: 26.0.,
AESI - Subgroup,14.3.3.x,T_AESI_SUBGP,,t_14-3-3-x_aesi_subgp_2_,t_aesi_subgp_2_,<Analysis Set>,"Overview of Adverse Events of Special Interest by Demographic Subgroup (Age Group, Years)",AESI: adverse events of special interest; N: number of participants; n: number of participants with event. \MedDRA version: 26.0.,
AESI - Subgroup,14.3.3.x,T_AESI_SUBGP,,t_14-3-3-x_aesi_subgp_3_,t_aesi_subgp_3_,<Analysis Set>,Overview of Adverse Events of Special Interest by Demographic Subgroup (Race),AESI: adverse events of special interest; N: number of participants; n: number of participants with event. \MedDRA version: 26.0.,
AESI - Subgroup,14.3.3.x,T_AESI_SUBGP,,t_14-3-3-x_aesi_subgp_4_,t_aesi_subgp_4_,<Analysis Set>,Overview of Adverse Events of Special Interest by Demographic Subgroup (Ethnicity),AESI: adverse events of special interest; N: number of participants; n: number of participants with event. \MedDRA version: 26.0.,
Deaths,14.3.3.x,T_DEATH,,t_14-3-3-x_death_,t_death_,<Analysis Set>,Deaths,N: number of participants; n: number of participants with event. \^{super 1} <period of interest> is defined as <definition>.,
Labs,14.3.4.x,T_LB,,t_14-3-4-x_lb_,t_lb_,<Analysis Set>,Laboratory Abnormalities Worsened from Baseline,Each test incidence is based on the number of participants who had both baseline and at least on postbaseline laboratory\measurement available.\Lab abnormality based on CTCAE Version 5.0 with grade assigned on lab data only. Clinical assessments or other\information were not considered. Post-baseline grades worsened from baseline were summarized.,
Labs,14.3.4.x,T_TEABN,,t_14-3-4-x_teabn_1_,t_teabn_1_,<Analysis Set>,Shifts from Baseline in CTCAE Grades in Lab Measurements,"N: number of participants; NAR: number at risk (with both a baseline and postbaseline measurement); n: number of \participants meeting criteria. \Severity Scale: CTCAE Version 5.0.  \The worst value for each abnormality was considered per participant. \^{super 1} Lab abnormality is based on CTCAE grading that is assigned based on lab data only and does not consider \associated clinical assessments or other information. \^{super 2} For Lab abnormalities with undefinable baseline CTCAE grades, postbaseline severity grades are presented.",
Labs,14.3.4.x,T_SHIFT,,t_14-3-4-x_shift_,t_shift_,<Analysis Set>,Shift from Baseline in CTCAE Grade (Grades 1-4) in Lab Measurements,N: total number of participants; n: number of participants meeting criteria. \Severity Scale: CTCAE Version 5.0.  \The worst value for each abnormality was considered per participant. \Grade 0 assigned to non-missing values that do not meet the criteria for Grade 1 or higher in the direction of interest  \ (i.e. may include abnormal values in the opposite direction). \Percentages are based on the total number of participants. \^{super 1} Lab abnormality is based on CTCAE grading that is assigned based on lab data only and does not consider associated clinical \assessments or other information.,
