Section,Output Number,Shell Template,Subgroup (from programming),Output File Name (from programming),Program Name (from programming),Analysis Set,Title,Footnote,Notes,__PowerAppsId__
Study Treatment,14.3.2.x,T_DOSEMODINF,,t_14-3-2-x_dosemodinf_,t_dosemodinf_,<Analysis Set>,Dose Modifications - <Study Treatment - Infusion>,"AE: Adverse Event.\Dose modification includes [dose delay, dose reduction or incomplete infusion]. \^{super 1}Only participants who had the specific dose modifications due to AE were considered.",,fce68efd-5c62-474a-953d-cc6c6edaa2b3
Adverse Events,14.3.3.x,T_AE_OV,,t_14-3-3-x_ae_ov_1_,t_ae_ov_1_,<Analysis Set>,Overview of Adverse Events,N: number of participants; TEAE: treatment-emergent adverse event; n: number of participants with event. \A TEAE is defined as <insert definition from the SAP>. \^{super 1} CTCAE Version 5.0. \^{super 2}Participants who permanently withdrew all components of a treatment regimen due to the same AE.,,bf5c71d5-c0da-46fa-8c73-f828095a82ca
Adverse Events,14.3.3.x,T_AE_OV,,t_14-3-3-x_ae_ov_2_,t_ae_ov_2_,<Analysis Set>,Overview of Treatment-Emergent Adverse Events Related to Treatment,N: number of participants; TEAE: treatment-emergent adverse event; n: number of participants with event. \A TEAE is defined as <insert definition from the SAP>. \^{super 1} CTCAE Version 5.0. \^{super 2}Participants who permanently withdrew all components of a treatment regimen due to the same AE.,,7db005c9-89db-4faf-8cfd-278be6d1d157
Adverse Events,14.3.3.x,T_AE2GR,,t_14-3-3-x_ae2gr_1_,t_ae2gr_1_,<Analysis Set>,"Treatment-Emergent Adverse Events by System Organ Class and Preferred Term (Any Grade, Grade 3-4)",N: number of participants; n: number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the Any Grade <Treatment 1> group within SOC; SOCs are listed by \decreasing frequency in the Any Grade <Treatment 1> group. [Standard specs will note to use alphabetical when ties \ exist] \The verbatim terms are included for those events that are not coded.,,9ae7f402-7d39-4553-b318-85310b58359e
Adverse Events,14.3.3.x,T_AE2GR,,t_14-3-3-x_ae2gr_2_,t_ae2gr_2_,<Analysis Set>,"Treatment-Emergent Adverse Events Related to Treatment by System Organ Class and Preferred Term (Any Grade, Grade 3-4)",N: number of participants; n: number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the Any Grade <Treatment 1> group within SOC; SOCs are listed by \decreasing frequency in the Any Grade <Treatment 1> group. [Standard specs will note to use alphabetical when ties \ exist] \The verbatim terms are included for those events that are not coded.,,81182556-e659-40e9-b32c-92f1ec61895a
Adverse Events,14.3.3.x,T_AE1GR,,t_14-3-3-x_ae1gr_,t_ae1gr_,<Analysis Set>,"Treatment-Emergent Adverse Events by Preferred Term (Any Grade, Grade 3-4)",N: number of participants; n: number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the Any Grade <Treatment 1> group. \The verbatim terms are included for those events that are not coded.,,e2a90d5e-e6f0-45ad-9954-bc5f2b5729e1
Adverse Events,14.3.3.x,T_AE2GRALL,,t_14-3-3-x_ae2grall_,t_ae2grall_,<Analysis Set>,"Treatment-Emergent Adverse Events by System Organ Class, Preferred Term and Maximum Grade (Any Grad, Grades 1-5)",N: number of participants; n: number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the Any Grade <Treatment 1> group \The verbatim terms are included for those events that are not coded.,,2668ef87-e454-4ba0-9b36-d0094917c9ff
Adverse Events,14.3.3.x,T_AE2,,t_14-3-3-x_ae2_1_,t_ae2_1_,<Analysis Set>,Serious Treatment-Emergent Adverse Events by System Organ Class and Preferred Term,N: number of participants; n: number of participants with event. \ MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,,2a83843b-d7fa-4ac1-b7f8-f0e2c147552c
Adverse Events,14.3.3.x,T_AE2,,t_14-3-3-x_ae2_2_,t_ae2_2_,<Analysis Set>,Serious Treatment-Emergent Adverse Events Related to Treatment by System Organ Class and Preferred Term,N: number of participants; n: number of participants with event. \ MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,,006ee0c8-4e02-426b-9b86-e79c9e44e471
Adverse Events,14.3.3.x,T_AE1,,t_14-3-3-x_ae1_1_,t_ae1_1_,<Analysis Set>,Treatment-Emergent Adverse Events Leading to Death by Preferred Term,N: number of participants; n: number of participants with event. \ MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,,f3032c8c-4f94-4281-bf83-560d4cda2ac9
Adverse Events,14.3.3.x,T_AE1,,t_14-3-3-x_ae1_2_,t_ae1_2_,<Analysis Set>,Treatment-Emergent Adverse Events Related to <Treatment> Leading to Death by Preferred Term,N: number of participants; n: number of participants with event. \ MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,,bfa6c641-f6fe-4d16-87cc-6a366963b621
Adverse Events,14.3.3.x,T_AE1_DC,,t_14-3-3-x_ae1_dc_,t_ae1_dc_,<Analysis Set>,Treatment-Emergent Adverse Events Leading to Permanent Withdrawal of Any Treatment by Preferred Term,N: number of participants; n: number of participants with event. \ MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,,50c3e570-ae9c-4f6b-89f0-2abd49c131a4
Adverse Events,14.3.3.x,T_AE1_ALL_DC_CMBO,,t_14-3-3-x_ae1_all_dc_cmbo_,t_ae1_all_dc_cmbo_,<Analysis Set>,Treatment-Emergent Adverse Events Leading to Permanent Withdrawal of All Treatments by Preferred Term,N: number of participants; n: number of participants with event. \ Participants who permanently withdrew all components of a treatment regimen due to the same AE are summarized.\MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,,141881ff-418d-4db0-9a34-97d379f5c616
Adverse Events,14.3.3.x,T_AE1,,t_14-3-3-x_ae1_3_,t_ae1_3_,<Analysis Set>,Treatment-Emergent Adverse Events Leading to Permanent Withdrawl of Treatment  <Treatment Component > by Preferred Term,N: number of participants; n: number of participants with event. \ MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,,e92132e0-0d78-4ac2-9f01-d01814b8d8bc
Adverse Events,14.3.3.x,T_AE1,,t_14-3-3-x_ae1_4_,t_ae1_4_,<Analysis Set>,Treatment-Emergent Adverse Events Leading to Interruption of <Treatment Component > by Preferred Term,N: number of participants; n: number of participants with event. \ MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,,3093828e-6fd3-4e60-8d66-07593171840e
Adverse Events,14.3.3.x,T_AE1,,t_14-3-3-x_ae1_5_,t_ae1_5_,<Analysis Set>,Treatment-Emergent Adverse Events Leading to Reduction of <Treatment Component > by Preferred Term,N: number of participants; n: number of participants with event. \ MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,,809c356c-7aa5-47e3-8524-b29b5479ba72
Adverse Events,14.3.3.x,T_AE1,,t_14-3-3-x_ae1_6_,t_ae1_6_,<Analysis Set>,Treatment-Emergent Adverse Events Leading to Dose Delay of <Treatment Component >by Preferred Term,N: number of participants; n: number of participants with event. \ MedDRA version: 26.0. \Preferred terms are ordered by decreasing frequency in the <Treatment 1> group  \The verbatim terms are included for those events that are not coded.,,51f77e22-c136-444a-ae00-82a14283df2d
Adverse Events,14.3.3.x,T_EAIR,,t_14-3-3-x_eair_,t_eair_,<Analysis Set>,Exposure-Adjusted Incidence Rates for <Treatment-Emergent Adverse Events>,"CI: confidence interval; EAIR: exposure adjusted incidence rate per 100 participant-years; N: number of participants; PY:\total participant years; n: number of participants with events; PYR: number of participant years at risk. MedDRA version: \26.0. \ PY is calculated as <total time (in years) of the treatment-emergent follow-up time of all participants. >\PYR is calculated as <total time (in years) of all patients from the first dose date to the first event date, or the \treatment-emergent follow-up time if there are no event.> EAIR is calculated as 100 times the number of participants \experiencing the adverse event divided by PYR.",,055ab3b8-daf3-45b0-b636-123edc10d721
Adverse Events of Special Interest,14.3.3.x,T_AESI_OV,,t_14-3-3-x_aesi_ov_,t_aesi_ov_,<Analysis Set>,"Overview of Adverse Events of Special Interest (Any Grade, Grade 3-4)",AESI: adverse events of special interest; N: number of participants; n: number of participants with event. \MedDRA version: 26.0.,,ae5849cf-f9c3-4871-8da8-cc88b9cd4ffd
Adverse Events of Special Interest,14.3.3.x,T_AESI_PT,,t_14-3-3-x_aesi_pt_,t_aesi_pt_,<Analysis Set>,"Adverse Events of Special Interest by Preferred Term (Any Grade, Grade 3-4)",N: number of participants; n: number of participants with event. \Severity Scale: CTCAE Version 5.0. MedDRA version: 26.0.,,f8f8347d-1e58-4433-9b5a-4b0d77b7b21a
Adverse Events of Special Interest,14.3.3.x,T_AESI,,t_14-3-3-x_aesi_,t_aesi_,<Analysis Set>,Adverse Events of Special Interest Assessment: <AESI1>,N: number of participants; PD: progression of disease; n: number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \^{super 1}Accounting for competing risks of death and PD . \^{super 2} Resolved is defined as outcome = recovered/resolved.,,8112f49d-bc77-4766-a180-922adeae312c
Adverse Events of Special Interest,14.3.3.x,T_AESI_REC,,t_14-3-3-x_aesi_rec_,t_aesi_rec_,<Analysis Set>,Recurrence of Adverse Events of Special Interest Assessment: <AESI1>,N: number of participants; TE: treatment-emergent; n = number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \^{super 1}Resolved is defined as outcome = <recovered/resolved>; number of events is used as the denominator.,,e83de635-c586-4100-82e0-3159e7a359f9
Adverse Events of Special Interest,14.3.3.x,T_AESI_REC_INT,,t_14-3-3-x_aesi_rec_int_,t_aesi_rec_int_,<Analysis Set>,Incidence of Participants with Recurrent <AESI> Events by Time Interval,AESI: adverse events of special interest; N: number of participants; NAR: number at risk; n: number of participants with\ event. \NAR includes the number of participants who enter the time interval specified. Participants with/without an event in\ the prior intervals are included. n includes the number of participants with at least one event in the time interval\specified.,,7142a62a-cccf-491e-9ec0-7a5911de5918
Adverse Events - Subgroup,14.3.3.x,T_AE_SUBGP,,t_14-3-3-x_ae_subgp_1_,t_ae_subgp_1_,<Analysis Set>,Overview of Adverse Events by Demographic Subgroup (Sex),Grade: CTCAE grade; N: number of participants; Ns: number of participants for each specific subgroup; TEAE: \treatment-emergent adverse event; n = number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \^{super 1}Participants who permanently withdrew all components of a treatment regimen due to the saem AE.,,440a4ff4-2659-4ba6-84c9-2358159ce13b
Adverse Events - Subgroup,14.3.3.x,T_AE_SUBGP,,t_14-3-3-x_ae_subgp_2_,t_ae_subgp_2_,<Analysis Set>,"Overview of Adverse Events by Demographic Subgroup (Age Group, Years)",Grade: CTCAE grade; N: number of participants; Ns: number of participants for each specific subgroup; TEAE: \treatment-emergent adverse event; n = number of participants with event. \Severity Scale: CTCAE Version 5.0.  MedDRA version: 26.0. \^{super 1}Participants who permanently withdrew all components of a treatment regimen due to the saem AE.,,cda06dd8-d19c-4987-b773-c3e731dab2f3
