Dataset,Variable,Where Clause,Description,Type,Codelist,Origin,Derivation / Comments / Predecessor,Column1,XL Comments,
ADBASE,AVALC,PARAMCD EQ SEGLSC  ,Secondary Gleason Score at Diagnosis ,text,,Assigned,"A record is created for every subject in ADSL where ADSL.SAFFL = 'Y'.
AVALC set to CD.CDSTRESC where CDTESTCD = 'SEGLSC'.
If no such record, or if CDSTRESC is null then, then left missing.",,,
ADBASE,AVAL,PARAMCD EQ SEGLSC  ,Secondary Gleason Score at Diagnosis ,integer,,Assigned,"Set to missing if CDSTRESC where CDTESTCD = 'SEGLSC' is null or 'UNKNOWN'
else set to numeric CDSTRESC",,,
ADBASE,AVALC,PARAMCD EQ CHSTAGE   ,Current Disease Stage / Cancer Stage ,text,CSTAGE,Assigned,"A record is created for every subject in ADSL where ADSL.SAFFL = 'Y'.
AVALC set to CD.CDSTRESC where CDTESTCD = 'CHSTAGE'.
If no such record, or if CDSTRESC is null then, then left missing.",,,
ADBASE,AVALC,PARAMCD EQ STPDYN  ,Soft Tissue PD at Screening ,text,NY,Assigned,"A record is created for every subject in ADSL where ADSL.SAFFL = 'Y'.
AVALC set to CD.CDSTRESC where CDTESTCD = 'STPDYN'.
If no such record, or if CDSTRESC is null then, then left missing.",,,
ADBASE,AVALC,PARAMCD EQ SUBTUMOR,Tumor Sub Type ,text,,Assigned,"A record is created for every subject in ADSL where ADSL.SAFFL = 'Y'.
AVALC set to CD.CDSTRESC where CDTESTCD = 'SUBTUMOR'.
If no such record, or if CDSTRESC is null then, then left missing.",,,
ADBASE,AVALC,PARAMCD EQ TOTGLSC ,Total Gleason Score at Diagnosis ,text,,Assigned,"A record is created for every subject in ADSL where ADSL.SAFFL = 'Y'.
AVALC set to CD.CDSTRESC where CDTESTCD = 'TOTGLSC'.
If no such record, or if CDSTRESC is null then, then left missing.",,,
ADBASE,AVAL,PARAMCD EQ TOTGLSC  ,Total Gleason Score at Diagnosis ,integer,,Assigned,"Set to missing if CDSTRESC where CDTESTCD = 'TOTGLSC' is null or 'UNKNOWN'
else set to numeric CDSTRESC",,,
ADBASE,AVALC,PARAMCD EQ TUMOR   ,Pathological Diagnosis Tumor Type ,text,,Assigned,"A record is created for every subject in ADSL where ADSL.SAFFL = 'Y'.
AVALC set to CD.CDSTRESC where CDTESTCD = 'TUMOR'.
If no such record, or if CDSTRESC is null then, then left missing.",,,
ADBASE,AVALC,PARAMCD EQ TUMORSP,"Tumor Other, Specify ",text,,Assigned,"A record is created for every subject in ADSL where ADSL.SAFFL = 'Y'.
AVALC set to CD.CDSTRESC where CDTESTCD = 'TUMORSP'.
If no such record, or if CDSTRESC is null then, then left missing.",,,
ADBASE,AVALCAT1,PARAMCD EQ CHSTAGE,,text,CSTGCAT,Assigned,"Set to the value of AVALC with ""STAGE"" updated to ""Stage"", minus any trailing letter values (e.g. if AVALC = 'STAGE IIA' then set AVALCAT1 to 'Stage II').
If AVALC is null, set to 'Missing'",,,
ADBASE,AVAL,PARAMCD EQ DIAGDURY,Duration from Initial Diagnosis to First Dose (years),integer,,Derived,"From PARAMCD = 'CHDTC', calculated as: (TRTSDT - ADT)/365.25

A record is only created if both ADSL.TRTSDT is non-missing and the subject has a record with non-missing AVALC where PARAMCD = 'CHDTC'.",,,
ADEXSUM,AVAL,PARAMCD EQ TOTDURN,Total Duration of Any Treatment (Months),float,,Derived,Calculate as (TRTEDT - TRTSDT + 1) / 30.4375,,,
ADEXSUM,AVAL,PARAMCD EQ XLTRDURM,Duration of Exposure for XL092 (Months),float,,Derived,"
Calculated as:
{ADEXSUM.AVAL where PARAMCD = 'XLTRDURD'}/30.4375",,,
ADEXSUM,AVAL,PARAMCD EQ XLCUMDOS,Cumulative Dose of XL092 (mg),float,,Derived,"Total doses in mg received.
Calculated as the sum of ADEX.TOTDOSE across all records where ADEX.ECTRT = 'XL092'",,,
ADEXSUM,AVAL,PARAMCD EQ XLDOSAVG,Average Daily Dose of XL092 (mg/day),float,,Derived,"Total doses received (mg) / duration of exposure (days) .
Calculated as:
{ADEXSUM.AVAL where PARAMCD = 'XLCUMDOS'} / {ADEXSUM.AVAL where PARAMCD = 'XLTRDURD'}",,,
ADEXSUM,AVAL,PARAMCD EQ XLDOSINT,Percent Dose Intensity for XL092 (%),float,,Derived,"100%*(Average daily dose mg/day) / (XX mg/day)

Calculated as: 100*(ADEXSUM.AVAL where PARAMCD = 'XLDOSAVG') / XX where XX=ADEX:DOSEP
",,,
ADEXSUM,AVAL,PARAMCD EQ DURTDH,Duration of Total Dose Hold (Days),float,,Derived,"Do the following within an ADEX.ECTRT: 
Using the records ADEX.ADURN for derivation: sum ADEX.ADURN where ADEX.CRIT18FL=Y for each subject. If no applicable records, then populate AVAL with 0. ",,,
ADEXSUM,AVAL,PARAMCD EQ DUREHLD,Duration of Exp Exc. Dose Hold (Months),float,,Derived,"If ECTRT=""XL092"", Set to  [(latest ADEX.AENDT where ECTRT='XL092' and AVAL>0 - earliest ADEX.ASTDT where ECTRT='XL092' and AVAL>0 +1)-(ADEXSUM.AVAL where PARAMCD=DURTDH and ECTRT='XL092')]/30.4375",,,
ADEXSUM,AVAL,PARAMCD EQ NVTRDURD,Duration of Exposure for Nivo (Days),float,,Derived,"Defined as: (Earlier of {Date of decision to discontinue study treatment, death date, cutoff date} – date of first dose + 1)

Calculated as: (min(ADSL.EONDCDT, ADSL.DTHDT, ADSL.CUTDT) - ADSL.NVTRTSDT + 1)

Set to ADSL.NTRTDURD",,,
ADEXSUM,AVAL,PARAMCD EQ NVTRDURM,Duration of Exposure for Nivo (Months),float,,Derived,"
Calculated as:
{ADEXSUM.AVAL where PARAMCD = 'NVTRDURD'}/30.4375",,,
ADEXSUM,AVAL,PARAMCD EQ NVCUMDOS,Cumulative Dose of Nivolumab (mg),float,,Derived,"Total doses in mg received.
Calculated as the sum of ADEX.TOTDOSE across all records where ADEX.ECTRT = 'Nivolumab'",,,
ADEXSUM,AVAL,PARAMCD EQ NVNUMINF,Number of Infusions of Nivolumab ,float,,Derived,The total number of records in ADEX where ADEX.ECTRT = 'Nivolumab' and ECOCCUR = 'Y' and ECDOSE>0,,,
ADEXSUM,AVAL,PARAMCD EQ NVNEXINF,Number of Expected Infusions of Nivo ,float,,Derived,"Expected number of Nivo infusions received = (earlier of {start date of last infusion of Nivolumab, cut-off date} - Date of first dose + 21)/21; Expected number of Nivo infusions does not have to be a integer. 
Calculated as:
AVAL=(ADEXSUM.AVAL where PARAMCD='NVTRDURD'  +27)/ 28",,ML 07/23/24: New PARAMS were added.                        ML 09/16/24: Updated derivation in red,
ADEXSUM,AVAL,PARAMCD EQ NVEXCDOS,Cumulative Expected Dose for Nivo (mg),float,,Derived,"Expected cumulative dose assuming 480 mg for Expected Number of Nivo Infusion received calculated as:
AVAL = 480 * (ADEXSUM.AVAL where PARAMCD='NVNEXINF')",,ML 07/23/24: New PARAMS were added. ML 09/16/24: Updated derivation to use 480 mg for Nivo.,
ADEXSUM,AVAL,PARAMCD EQ NVDOSAVG,Average dose per Inf Nivo (mg/infusion) ,float,,Derived,"Average dose of Nivo (mg/infusion) = total doses in mg received / number of infusions received.
Calculated as:
{ADEXSUM.AVAL where PARAMCD = 'NVCUMDOS'} / {ADEXSUM.AVAL where PARAMCD = 'NVNUMINF'}",,,
ADEXSUM,AVAL,PARAMCD EQ NVDOSINT,Percent Dose Intensity For Nivolumab (%),float,,Derived,"
Calculated as: 100* [ADEXSUM.AVAL where PARAMCD=NVCUMDOS/sum(ADEX.DOSEP) where ADEX.EXTRT='Nivolumab' ] 

Calculated as: 100*(ADEXSUM.AVAL where PARAMCD=NVCUMDOS/NVTRDURD)/[sum(ADEX.DOSEP)/NVTRDURD)] where ADEX.EXTRT='Nivolumab'  

100%*(actual cumulative dose (mg)) / (expected cumulative dose (mg))

Calculated as: 100*(ADEXSUM.AVAL where PARAMCD = 'NVCUMDOS') / (ADEXSUM.AVAL where PARAMCD = 'NVEXCDOS')",,ML 9/10/24: PARAM derivation was updated,
ADEXSUM,AVAL,PARAMCD EQ NVADINT,Actual Dose Int Nivolumab (mg/week),float,,Derived,"If ADEX.EXTRT=Nivolumab:
(ADEXSUM.AVAL where PARAMCD=NVCUMDOS)/((Latest EX.EXSTDTC where EX.DOSE>0 - ADSL.NTRTDURD+XX)/7)
If ADSL.COHORT=ESC A: SOLID TUMOR XL092 100+NIVO360 then :
Set XX=21
If ADSL.COHORT=ESC B: SOLID TUMOR XL092 80+NIVO3+IPI1 then do:
If NVTRTEDT–NVTRTSDT + 1 >  84 days then set XX=21 
if NVTRTEDT–NVTRTSDT + 1 <=  84 days then set XX=28
For all others set XX=28 ",,,
ADEXSUM,AVAL,PARAMCD EQ RLTRDURD,Duration of Exposure for Nivo/Rela FDC (Days),float,,Derived,"Defined as: (Earlier of {Date of decision to discontinue study treatment, death date, cutoff date} – date of first dose + 1)

Calculated as: (min(ADSL.EORDCDT, ADSL.DTHDT, ADSL.CUTDT) - ADSL.NVTRTSDT + 1)

Set to ADSL.RTRTDURD",,,
ADEXSUM,AVAL,PARAMCD EQ RLTRDURM,Duration of Exposure for Nivo/Rela FDC (Months),float,,Derived,"
Calculated as:
{ADEXSUM.AVAL where PARAMCD = 'RLTRDURD'}/30.4375",,,
ADEXSUM,AVAL,PARAMCD EQ RLNUMINF,Number of Nivo/Rela FDC Infusions Received,integer,,Derived,The total number of records in ADEX where ADEX.ECTRT = 'Relatlimab' and ECOCCUR = 'Y' and ECDOSE>0,,,
ADEXSUM,AVAL,PARAMCD EQ RLCUMDOS,Cumulative Dose of Nivo/Rela FDC (mg),float,,Derived,"Total doses in mg received.
Calculated as the sum of ADEX.TOTDOSE across all records where ADEX.ECTRT = 'Relatlimab'",,,
ADEXSUM,AVAL,PARAMCD EQ RLDOSAVG,Average dose per Inf Nivo/Rela FDC (mg/infusion) ,float,,Derived,"Average dose of Relatlimab (mg/infusion) = total doses in mg received / number of infusions received.
Calculated as:
{ADEXSUM.AVAL where PARAMCD = 'RLCUMDOS'} / {ADEXSUM.AVAL where PARAMCD = 'RLNUMINF'}",,,
ADEXSUM,AVAL,PARAMCD EQ RLNEXINF,Number of Expected Infusions of Nivo/Rela FDC ,float,,Derived,"Expected number of Rela infusions received = (earlier of {start date of last infusion of Relatlimab, cut-off date} - Date of first dose + 28)/28; Expected number of Rela infusions does not have to be a integer. 
Calculated as:
AVAL=(ADEXSUM.AVAL where PARAMCD='RLTRDURD' +27)/ 28",,ML 9/10/24: New PARAMS were added,
ADEXSUM,AVAL,PARAMCD EQ RLEXCDOS,Cumulative Expected Dose for Nivo/Rela FDC (mg),float,,Derived,"Expected cumulative dose assuming 480 mg for Expected Number of Nivo Infusion received calculated as:
AVAL = 480 * (ADEXSUM.AVAL where PARAMCD='RLNEXINF')",,ML 9/10/24: New PARAMS were added,
ADEXSUM,AVAL,PARAMCD EQ RLDOSINT,Percent Dose Intensity For Nivo/Rela FDC (%),float,,Derived,"If ECTRT=""Relatlimab""
({ADEXSUM.AVAL where PARAMCD=RLCUMDOS / [ADEXSUM.AVAL where PARAMCD=RLTRDURD+27]} / [160/28])*100 

Calculated as: 100*(ADEXSUM.AVAL where PARAMCD.RLCUMDOS/RLTRDURD)/[sum(ADEX.DOSEP)/RLTRDURD)] where ADEX.EXTRT contains ""Relatlimab"" or combos of Relatlimab

100%*(actual cumulative dose (mg)) / (expected cumulative dose (mg))

Calculated as: 100*(ADEXSUM.AVAL where PARAMCD = 'RLCUMDOS') / (ADEXSUM.AVAL where PARAMCD = 'RLEXCDOS')",,ML 9/10/24: PARAM derivation was updated,
ADEXSUM,AVAL,PARAMCD EQ XLADINT,Actual Dose Int XL092 (mg/week),float,,Derived,"If ADEX.ECTRT=XL092:
(ADEXSUM.AVAL where PARAMCD=XLCUMDOS)/((Latest EX.EXSTDTC where EX.DOSE>0 - ADSL.XLTRDURD+28)/7)",,,
ADEXSUM,AVAL,PARAMCD EQ RADINT,Actual Dose Int Nivo/Rela FDC (mg/week),float,,Derived,"If ADEX.ECTRT=Relatlimab:
(ADEXSUM.AVAL where PARAMCD=RLCUMDOS)/((Latest EX.EXSTDTC where EX.DOSE>0 - ADSL.RTRTDURD+28)/7)",,,
ADEXSUM,AVAL,PARAMCD EQ IPTRDURD,Duration of Exposure for Nivo/Rela FDC (Days),float,,Derived,Set to ADSL.ITRTDURD,,,
ADEXSUM,AVAL,PARAMCD EQ IPTRDURM,Duration of Exposure for Nivo/Rela FDC (Months),float,,Derived,"
Calculated as:
{ADEXSUM.AVAL where PARAMCD = 'IPTRDURD'}/30.4375",,,
ADEXSUM,AVAL,PARAMCD EQ IPCUMDOS,Cumulative Dose of Ipilimumab (mg),float,,Derived,"Total doses in mg received.
Calculated as the sum of ADEX.TOTDOSE across all records where ADEX.ECTRT = 'Ipilimumab'",,,
ADEXSUM,AVAL,PARAMCD EQ IPNUMINF,Number of Ipilimumab Infusions Received,integer,,Derived,The total number of records in ADEX where ADEX.ECTRT = 'Ipilimumab' and ECOCCUR = 'Y' and ECDOSE>0,,,
ADEXSUM,AVAL,PARAMCD EQ INEXINF,Number of Expected Infusions of Ipi ,float,,Derived,"Expected number of Ipi infusions received = (earlier of {start date of last infusion of Ipilimumab, cut-off date} - Date of first dose + 21)/21; Expected number of Ipi infusions does not have to be a integer. 
Calculated as:
AVAL=(ADEXSUM.AVAL where PARAMCD='IPTRDURD' +20)/ 21",,,
ADEXSUM,AVAL,PARAMCD EQ IEXCDOS,Cumulative Expected Dose for Ipi (mg),float,,Derived,"Expected cumulative dose using baseline weight for Expected Number of Ipi Infusion received calculated as:
AVAL = ADSL.WTBL * (ADEXSUM.AVAL where PARAMCD='INEXINF')",,,
ADEXSUM,AVAL,PARAMCD EQ IPDOSAVG,Average dose per Inf Ipi (mg/infusion) ,float,,Derived,"Average dose of Ipilimumab (mg/infusion) = total doses in mg received / number of infusions received.
Calculated as:
{ADEXSUM.AVAL where PARAMCD = 'ICUMDOS'} / {ADEXSUM.AVAL where PARAMCD = 'INUMINF'}",,,
ADEXSUM,AVAL,PARAMCD EQ IADINT,Actual Dose Int Ipilimumab (mg/week),float,,Derived,"If ADEX.ECTRT=Ipilimumab:
(ADEXSUM.AVAL where PARAMCD=IPCUMDOS)/((Latest EX.EXSTDTC where EX.DOSE>0 - ADSL.ITRTDURD+21)/7)
",,,
ADEXSUM,AVAL,PARAMCD EQ IPDOSINT,Percent Dose Intensity For Ipi (%),float,,Derived,"
100%*(actual cumulative dose (mg)) / (expected cumulative dose (mg))

Calculated as: 100*(ADEXSUM.AVAL where PARAMCD = 'ICUMDOS') / (ADEXSUM.AVAL where PARAMCD = 'IEXCDOS')",,,
ADEXSUM,AVAL,PARAMCD EQ XAEREDS,Number of AE Dose Reductions for XL092,float,,Derived,"If ADEX.EXTRT=XL092 count number of unique ADEX.AVAL recods exist where CRIT2FL=""Y"" for each subject. If none, then populate AVAL with 0. ",,,
ADEXSUM,AVAL,PARAMCD EQ XNDOSRED,Number of Dose Reductions for XL092,float,,Derived,"If ECTRT=""XL092"", count number of unique ADEX.AVAL recods exist where CRIT17FL=""Y"" for each subject. If none, then populate AVAL with 0. ",,,
ADEXSUM,AVAL,PARAMCD EQ XTT1RED,Time to 1st Dose Red for XL092 (Days),float,,Derived,"If ECTRT=""XL092""
Find earliest ADEX.ASTDT where ADEX.CRIT2FL=Y
AVAL = the above ADEX.ASTDT - TRTSDT +1.
Note: only populate when AVAL is not missing. Do not output an ADEXSUM record if no ADEX record exists where CRIT2FL=""Y""",,,
ADEXSUM,AVAL,PARAMCD EQ XAEHLDS,Number of AE Dose Holds for XL092,float,,Derived,"If EXTRT=""XL092""  where ADEX.POSTRTFL^='Y':
count number of unique ADEX recods where CRIT3FL=""Y"" for each subject. If none, then populate AVAL with 0. ",,,
ADEXSUM,AVAL,PARAMCD EQ XNDOSHLD,Number of Dose Holds for XL092,float,,Derived,"If EXTRT=""XL092"", count number of unique ADEX.AVAL recods exist where CRIT18FL=""Y"" for each subject. If none, then populate AVAL with 0. ",,,
ADEXSUM,AVAL,PARAMCD EQ XTT1HLD,Time to 1st Dose Hold for XL092 (Days),float,,Derived,"If ECTRT=""XL092""
Find earliest ADEX.ASTDT where ADEX.CRIT3FL=Y and ADEX.POSTRTFL ^=Y
AVAL = the above ADEX.ASTDT - TRTSDT +1.
Note: only populate when AVAL is not missing. Do not output an ADEXSUM record if no ADEX record exists where CRIT3FL=""Y""",,,
ADEXSUM,AVAL,PARAMCD EQ NMODANYX,Number of Any XL092 Dose Mods ,float,,Derived,Sum of ADEXSUM.AVAL for parameters XNDOSRED and XNDOSHLD,,,
ADEXSUM,AVAL,PARAMCD EQ NMODAEX,Number of Any XL092 Dose Mods due to AE,float,,Derived,Sum of ADEXSUM.AVAL for parameters XAEREDS and XAEHLDS,,,
ADEXSUM,AVAL,PARAMCD EQ XTTFMOD,Time to 1st XL092 Dose AE Mod (Days),float,,Derived,"Smallest AVAL of the following PARAMCD: XTT1RED and XTT1HLD. If none of the above PARAMCD exist, then don't populate this PARAMCD. ",,,
ADEXSUM,AVAL,PARAMCD EQ LOWDOSE,Lowest Non-zero Dose Received,float,,Derived,"If EXTRT=""XL092"". Set to lowest 0<ADEX.AVAL where CRIT4FL=""Y"". Only create records if available records. ",,,
ADEXSUM,AVAL,PARAMCD EQ TT1HLD07,Time to 1st 7 day AE Dose Hold (Days),float,,Derived,"If EXTRT=""XL092""
Find earliest ADEX.ASTDT where ADEX.CRIT3FL=Y and (ADEX.ADURN)>=7 days. Only populate when AVAL is not missing. 
AVAL = the above ADEX.ASTDT - TRTSDT +1",,,
ADEXSUM,AVAL,PARAMCD EQ TT1HLD14,Time to 1st 14 day AE Dose Hold (Days),float,,Derived,"If EXTRT=""XL092""
Find earliest ADEX.ASTDT where ADEX.CRIT3FL=Y and (ADEX.ADURN)>=14 days. Only populate when AVAL is not missing. 
AVAL = the above ADEX.ASTDT - TRTSDT +1",,,
ADEXSUM,AVAL,PARAMCD EQ TT1HLD21,Time to 1st 21 day AE Dose Hold (Days),float,,Derived,"If EXTRT=""XL092""
Find earliest ADEX.ASTDT where ADEX.CRIT3FL=Y and (ADEX.ADURN)>=21 days. Only populate when AVAL is not missing. 
AVAL = the above ADEX.ASTDT - TRTSDT +1",,,
ADEXSUM,AVAL,PARAMCD EQ HLDAEDUR,Duration of Dose Holds Due to AE,float,,Derived,"A record for each dose hold due to AE is created:
For each record in ADEX where EXTRT='XL092' and CRIT3FL = 'Y'  and  POSTRTFL^='Y', a record is created.
AVAL is set to ADEX.DURDHAE.",,,
ADEXSUM,AVAL,PARAMCD EQ TOTHLDAE,Total Duration of Dose Holds Due to AE,float,,Derived,Sum of AVAL from ADEXSUM.PARAMCD = 'HLDAEDUR',,,
ADEXSUM,AVAL,PARAMCD EQ NAEREDS,Number of AE Dose Reductions for Nivo,float,,Derived,"If ADEX.EXTRT=Nivolumab count number of unique ADEX.AVAL recods exist where CRIT2FL=""Y"" for each subject. If none, then populate AVAL with 0. ",,,
ADEXSUM,AVAL,PARAMCD EQ NNDOSRED,Number of Dose Reductions for Nivo,float,,Derived,"If EXTRT=""Nivolumab"", count number of unique ADEX.AVAL recods exist where CRIT17FL=""Y"" for each subject. If none, then populate AVAL with 0. ",,,
ADEXSUM,AVAL,PARAMCD EQ NTT1RED,Time to 1st Dose Red for Nivo (Days),float,,Derived,"If EXTRT=""Nivolumab""
Find earliest ADEX.ASTDT where ADEX.CRIT2FL=Y
AVAL = the above ADEX.ASTDT - TRTSDT +1.
Note: only populate when AVAL is not missing. Do not output an ADEXSUM record if no ADEX record exists where CRIT2FL=""Y""",,,
ADEXSUM,AVAL,PARAMCD EQ NAEHLDS,Number of AE Dose Holds for Nivo,float,,Derived,"If EXTRT=""Nivolumab""  where ADEX.POSTRTFL^='Y':
count number of unique ADEX recods where CRIT3FL=""Y"" for each subject. If none, then populate AVAL with 0. ",,,
ADEXSUM,AVAL,PARAMCD EQ NNDOSHLD,Number of Dose Holds for Nivo,float,,Derived,"If EXTRT=""Nivolumab"", count number of unique ADEX.AVAL recods exist where CRIT18FL=""Y"" for each subject. If none, then populate AVAL with 0. ",,,
ADEXSUM,AVAL,PARAMCD EQ NTT1HLD,Time to 1st Dose Hold for Nivo (Days),float,,Derived,"If EXTRT=""Nivolumab""
Find earliest ADEX.ASTDT where ADEX.CRIT3FL=Y
AVAL = the above ADEX.ASTDT - TRTSDT +1.
Note: only populate when AVAL is not missing. Do not output an ADEXSUM record if no ADEX record exists where CRIT3FL=""Y""",,,
ADEXSUM,AVAL,PARAMCD EQ NMODANYN,Number of Any Nivo Dose Mods ,float,,Derived,Sum of ADEXSUM.AVAL for parameters NNDOSRED and NNDOSHLD,,,
ADEXSUM,AVAL,PARAMCD EQ NMODAEN,Number of Any Nivo Dose Mods due to AE,float,,Derived,Sum of ADEXSUM.AVAL for parameters NAEREDS and NAEHLDS,,,
ADEXSUM,AVAL,PARAMCD EQ NTTFMOD,Time to 1st Nivo Dose AE Mod (Days),float,,Derived,"Smallest AVAL of the following PARAMCD: NTT1RED and NTT1HLD. If none of the above PARAMCD exist, then don't populate this PARAMCD. ",,,
ADEXSUM,AVAL,PARAMCD EQ RAEREDS,Number of AE Dose Reductions for Nivo/Rela FDC,float,,Derived,"If ADEX.EXTRT=Relatlimab/Nivolumab FDC count number of unique ADEX.AVAL recods exist where CRIT2FL=""Y"" for each subject. If none, then populate AVAL with 0. ",,,
ADEXSUM,AVAL,PARAMCD EQ RNDOSRED,Number of Dose Reductions for Nivo/Rela FDC,float,,Derived,"If EXTRT=""Relatlimab/Nivolumab FDC"", count number of unique ADEX.AVAL recods exist where CRIT17FL=""Y"" for each subject. If none, then populate AVAL with 0. ",,,
ADEXSUM,AVAL,PARAMCD EQ RTT1RED,Time to 1st Dose Red for Nivo/Rela FDC (Days),float,,Derived,"If EXTRT=""Relatlimab/Nivolumab FDC""
Find earliest ADEX.ASTDT where ADEX.CRIT2FL=Y
AVAL = the above ADEX.ASTDT - TRTSDT +1.
Note: only populate when AVAL is not missing. Do not output an ADEXSUM record if no ADEX record exists where CRIT2FL=""Y""",,,
ADEXSUM,AVAL,PARAMCD EQ RAEHLDS,Number of AE Dose Holds for Nivo/Rela FDC,float,,Derived,"If EXTRT=""Relatlimab/Nivolumab FDC""  where ADEX.POSTRTFL^='Y':
count number of unique ADEX recods where CRIT3FL=""Y"" for each subject. If none, then populate AVAL with 0. ",,,
