Data Set,Variable,Label,Type,Length,Format,Codelist Name,Origin,Derivation / Comments / Predecessor,Notes,XL Comments,,,,,,,,,,,,,,,,,,
ADAESI,TRTEMFL,Treatment Emergent Analysis Flag,Char,1,$1.,Y,Derived,"Flags events that occur during the Standard Safety Observation Period.
AE start time is not collected, so assume all events occurring on same day as treatment start began after treatment start.

For single agent arms and   .<ADSL.TRTSDT<=ADAE.ASTDT<=ADSL.EOSOBEDT then TRTEMFL= 'Y'.                                                                                                                                                                Else do;                                                                                                                                                if ADAE.AESER ne 'Y' and .<ADSL.TRTSDT<=ADAE.ASTDT<=ADSL.EOSOBEDT  then TRTEMFL= 'Y'.                                                                                                                                          if ADAE.AESER='Y' and .<ADSL.TRTSDT<=ADAE.ASTDT<=ADSL.EOECCEDT  then TRTEMFL= 'Y'.                                                                                                                                        end;        
Otherwise, null.",2/17/2024: Need to confirm. SAP does not have any details about reporting period,,,,,,,,,,,,,,,,,,,
ADAESI,TRTEM2FL,Treatment Emergent Analysis 2 Flag ,Char,1,$1.,Y,Derived,"Flags events that occur during the Extended Safety Observation Period.
AE start time is not collected, so assume all events occurring on same day as treatment start began after treatment start.

Set to ""Y"" if ADSL.EOSOBEDT < ADAE.ASTDT <= ADSL.EOECCEDT.

Otherwise, null.",2/17/2024: Need to confirm. SAP does not have any details about reporting period,,,,,,,,,,,,,,,,,,,
ADAESI,AOCC01FL,1st Occurrence of a Given AESI,Char,1,$1.,Y,Derived,"Within a given CQ01NAM, flags the chronologically earliest record by start date (ASTDT) and earliest end date (AENDT -- note: missing AENDT due to AEENRTPT = 'ONGOING' is considered the latest possible end date). If more than one record with the same CQ01NAM and start and end dates, then the record with the lowest AESEQ is flagged.",,,,,,,,,,,,,,,,,,,,
ADAESI,AOCC02FL,1st Occurrence of AESI Resolution,Char,1,$1.,Y,Derived,"Flags the record with the chronologically latest AENDT where GROUPID = 1 within each CQ01NAM.
(Note: missing AENDT due to AEENRTPT = 'ONGOING' is considered the latest possible end date).
In case of ties in AENDT, flags the record with the latest ASTDT, largest AESEQ, if necessary.",,,,,,,,,,,,,,,,,,,,
ADAESI,AEREL,Causality,Char,11,$11.,AEREL,Predecessor,ADAE.AEREL,,,,,,,,,,,,,,,,,,,,
ADAESI,AREL,Analysis Causality,Char,11,$11.,AREL,Derived,ADAE.AREL,,,,,,,,,,,,,,,,,,,,
ADAESI,ARELXL,Relationship to XL092,Char,200,$200.,AREL,Assigned,ADAE.ARELXL,,,,,,,,,,,,,,,,,,,,
ADAESI,ARELNIV,Relationship to Nivolumab,Char,200,$200.,AREL,Assigned,ADAE.ARELNIV,,,,,,,,,,,,,,,,,,,,
ADAESI,ARELIPI,Relationship to Ipilimumab,Char,200,$200.,AREL,Assigned,ADAE.ARELIPI,,,,,,,,,,,,,,,,,,,,
ADAESI,ARELREL,Relationship to Nivo/Rela FDC,Char,200,$200.,AREL,Assigned,ADAE.ARELREL,,,,,,,,,,,,,,,,,,,,
ADAESI,AETOXGR,Standard Toxicity Grade,Char,10,$10.,AETOXGR,Predecessor,ADAE.AETOXGR,,,,,,,,,,,,,,,,,,,,
ADAESI,AETOXGRN,Standard Toxicity Grade (N),Num,8,best20.,AETOXGR_N,Assigned,ADAE.AETOXGRN,,,,,,,,,,,,,,,,,,,,
ADAESI,AESI1FL,Was event Symptomatic Fracture?,Char,1,$1.,NY,Predecessor,ADAE.AESI1FL,,,,,,,,,,,,,,,,,,,,
ADAESI,AESI2FL,Was event Spinal Cord Compression?,Char,1,$1.,NY,Predecessor,ADAE.AESI2FL,,,,,,,,,,,,,,,,,,,,
ADAESI,AESER,Serious Event,Char,1,$1.,NY,Predecessor,ADAE.AESER,,,,,,,,,,,,,,,,,,,,
ADAESI,AESCONG,Congenital Anomaly or Birth Defect,Char,1,$1.,NY,Predecessor,ADAE.AESCONG,,,,,,,,,,,,,,,,,,,,
ADAESI,AESDISAB,Persist or Signif Disability/Incapacity,Char,1,$1.,NY,Predecessor,ADAE.AESDISAB,,,,,,,,,,,,,,,,,,,,
ADAESI,AESDTH,Results in Death,Char,1,$1.,NY,Predecessor,ADAE.AESDTH,,,,,,,,,,,,,,,,,,,,
ADAESI,AESHOSP,Requires or Prolongs Hospitalization,Char,1,$1.,NY,Predecessor,ADAE.AESHOSP,,,,,,,,,,,,,,,,,,,,
ADAESI,AESLIFE,Is Life Threatening,Char,1,$1.,NY,Predecessor,ADAE.AESLIFE,,,,,,,,,,,,,,,,,,,,
ADAESI,AESMIE,Other Medically Important Serious Event,Char,1,$1.,NY,Predecessor,ADAE.AESMIE,,,,,,,,,,,,,,,,,,,,
ADAESI,ATRMODFL,Event Leading to Dose Modification Flag,Char,1,$1.,Y,Derived,ADAE.ATRMODFL,,,,,,,,,,,,,,,,,,,,
ADAESI,ATRDISFL,Study Treatment Discontinued Flag,Char,1,$1.,Y,Derived,ADAE.ATRDISFL,,,,,,,,,,,,,,,,,,,,
ADAESI,AEACN ,Action Taken with Study Treatment,Char ,200,$200.,,Predecessor,ADAE.AEACN ,,,,,,,,,,,,,,,,,,,,
ADAESI,AEACRED1,XL092 Treatment Dose Reduced?,Char,200,$200.,NY,Predecessor,ADAE.AEACRED1,,,,,,,,,,,,,,,,,,,,
ADAESI,AEACHLD1,XL092 Treatment Dose Interrupted?,Char,200,$200.,NY,Predecessor,ADAE.AEACHLD1,,,,,,,,,,,,,,,,,,,,
ADAESI,AEACWTH1,XL092 Treatment Dose Discontinued?,Char,200,$200.,NY,Predecessor,ADAE.AEACWTH1,,,,,,,,,,,,,,,,,,,,
ADAESI,AEACDEL2,Nivo Infusion Delayed?,Char,200,$200.,NY,Predecessor,ADAE.AEACDEL2,,,,,,,,,,,,,,,,,,,,
ADAESI,AEACINC2,Nivo Infusion Incomplete?,Char,200,$200.,NY,Predecessor,ADAE.AEACINC2,,,,,,,,,,,,,,,,,,,,
ADAESI,AEACWTH2,Nivo Infusion Discontinued?,Char,200,$200.,NY,Predecessor,ADAE.AEACWTH2,,,,,,,,,,,,,,,,,,,,
ADAESI,AEACDEL3,Ipilimumab Infusion Delayed?,Char,200,$200.,NY,Predecessor,ADAE.AEACDEL3,,,,,,,,,,,,,,,,,,,,
ADAESI,AEACINC3,Ipilimumab Infusion Incomplete?,Char,200,$200.,NY,Predecessor,ADAE.AEACINC3,,,,,,,,,,,,,,,,,,,,
ADAESI,AEACWTH3,Ipilimumab Permanently Discontinued?,Char,200,$200.,NY,Predecessor,ADAE.AEACWTH3,,,,,,,,,,,,,,,,,,,,
ADAESI,AEACDEL5,Nivo/Rela FDC Infusion Delayed?,Char,200,$200.,NY,Predecessor,ADAE.AEACDEL5,,,,,,,,,,,,,,,,,,,,
ADAESI,AEACINC5,Nivo/Rela FDC Infusion Incomplete?,Char,200,$200.,NY,Predecessor,ADAE.AEACINC5,,,,,,,,,,,,,,,,,,,,
ADAESI,AEACWTH5,Nivo/Rela FDC Permanently Discontinued?,Char,200,$200.,NY,Predecessor,ADAE.AEACWTH5,,,,,,,,,,,,,,,,,,,,
ADAESI,AENRCDRL,Causally Related to the Disease?,Char,200,$200.,NY,Predecessor,ADAE.AENRCDRL,,,,,,,,,,,,,,,,,,,,
ADAESI,AENRCIRL,Event Related to Concurrent Illness?,Char,200,$200.,NY,Predecessor,ADAE.AENRCIRL,,,,,,,,,,,,,,,,,,,,
ADAESI,AENRCISP,Specify Concurrent Illness,Char,200,$200.,NY,Predecessor,ADAE.AENRCISP,,,,,,,,,,,,,,,,,,,,
ADAESI,RELCMFL,Event Related to Con Med?,Char,200,$200.,NY,Predecessor,ADAE.RELCMFL,,,,,,,,,,,,,,,,,,,,
ADAESI,AENRCMSP,Specify Concomitant Medication,Char,200,$200.,NY,Predecessor,ADAE.AENRCMSP,,,,,,,,,,,,,,,,,,,,
ADAESI,AENROTSP,Specify Different Cause,Char,200,$200.,NY,Predecessor,ADAE.AENROTSP,,,,,,,,,,,,,,,,,,,,
ADAESI,AESMIES1,Treatment Given for this Event 1,Char,200,$200.,AETRTGV1,Predecessor,ADAE.AESMIES1,,,,,,,,,,,,,,,,,,,,
ADAESI,AESMIES2,Treatment Given for this Event 2,Char,200,$200.,AETRTGV2,Predecessor,ADAE.AESMIES2,,,,,,,,,,,,,,,,,,,,
ADAESI,AETRTPR,Surgery / Procedure,Char,200,$200.,AETRTGV3,Predecessor,ADAE.AETRTPR,,,,,,,,,,,,,,,,,,,,
ADAESI,AETRTRA,Radiation,Char,200,$200.,AETRTGV4,Predecessor,ADAE.AETRTRA,,,,,,,,,,,,,,,,,,,,
ADAESI,AETRTBT,Transfusion,Char,200,$200.,AETRTGV5,Predecessor,ADAE.AETRTBT,,,,,,,,,,,,,,,,,,,,
ADAESI,AETRTOTH,Other Treatment,Char,200,$200.,AETRTGV6,Predecessor,ADAE.AETRTOTH,,,,,,,,,,,,,,,,,,,,
ADAESI,ATRTGV,Analysis Treatment Given,Char,200,$200.,,Derived,ADAE.ATRTGV,,,,,,,,,,,,,,,,,,,,
ADAESI,AECMIMFL,Is Medication an Immune Suppressant?,Char,200,$200.,NY,Predecessor,ADAE.AECMIMFL,,,,,,,,,,,,,,,,,,,,
ADAESI,AECMIM1,1st Immunosuppressant Drug Related to AE,Char ,200,$200.,,Predecessor,ADAE.AECMIM1,,,,,,,,,,,,,,,,,,,,
ADAESI,AECMIM2,2nd Immunosuppressant Drug Related to AE,Char ,200,$200.,,Predecessor,ADAE.AECMIM2,,,,,,,,,,,,,,,,,,,,
ADAESI,AECMIM3,3rd Immunosuppressant Drug Related to AE,Char ,200,$200.,,Predecessor,ADAE.AECMIM3,,,,,,,,,,,,,,,,,,,,
ADAESI,AEDLT,Dose Limiting Toxicity,Char,200,$200.,,Predecessor,ADAE.AEDLT,,,,,,,,,,,,,,,,,,,,
ADAESI,LAST30FL,Within 30 days of Last Dose Flag,Char,1,$1.,,Derived,ADAE.LAST30FL,,,,,,,,,,,,,,,,,,,,
ADAESI,POST30FL,After 30 days post last dose flag,Char,1,$1.,,Derived,ADAE.POST30FL,,,,,,,,,,,,,,,,,,,,
ADAESI,RDXLDT,Date of Recent Dose of XL092 Prior to AE ,Num,8,date9.,,,ADAE.RDXLDT,,,,,,,,,,,,,,,,,,,,
ADAESI,RDNDT,Date of Recent Dose of Nivo Prior to AE ,Num,8,date9.,,,ADAE.RDNDT,,,,,,,,,,,,,,,,,,,,
ADAESI,RDIDT,Date of Recent Dose of Ipi Prior to AE ,Num,8,date9.,,,ADAE.RDIDT,,,,,,,,,,,,,,,,,,,,
ADAESI,RDRDT,Date of Recent Dose of Nivo/Rela FDC Prior to AE ,Num,8,date9.,,,ADAE.RDRDT,,,,,,,,,,,,,,,,,,,,
ADAESI,AEDTHPUB,Death Obtained from Public Records,Char ,200,$200.,,Derived,ADAE.AEDTHPUB,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
