Data Set,Variable,Label,Type,Length,Format,Codelist Name,Origin,Derivation / Comments / Predecessor,Notes,XL Comments
ADAE,AECMIM1,1st Immunosuppressant Drug Related to AE,Char ,200,$200.,,Predecessor,SUPPAE.QVAL where QNAM = 'AECMIM1',,
ADAE,AECMIM2,2nd Immunosuppressant Drug Related to AE,Char ,200,$200.,,Predecessor,SUPPAE.QVAL where QNAM = 'AECMIM2',,
ADAE,AECMIM3,3rd Immunosuppressant Drug Related to AE,Char ,200,$200.,,Predecessor,SUPPAE.QVAL where QNAM = 'AECMIM3',,
ADAE,AEDLT,Dose Limiting Toxicity,Char,200,$200.,,Predecessor,SUPPAE.QVAL where QNAM = 'AEDLT',,
ADAE,LAST30FL,Within 30 days of Last Dose Flag,Char,1,$1.,,Derived,Set to Y if .<ADSL.TRTEDT <= ASTDT<=ADSL.TRTEDT+30,,
ADAE,POST30FL,After 30 days post last dose flag,Char,1,$1.,,Derived,Set to Y if .<ADSL.TRTEDT +30< ASTDT,,
ADAE,RDXLDT,Date of Recent Dose of XL092 Prior to AE ,Num,8,date9.,,,"1) For records where EXTRT=""XL092"" and EXDOSE>0 and non-missing EXSTDTC and non-missing EXENDTC, expand to create a record for all dates between EXSTDTC and EXENDTC, inclusive, creating an intermediate date variable (e.g. EXDT)
2) For records where EXTRT=""XL092"" and EXDOSE>0 and non-missing EXSTDTC and missing EXENDTC, use EXSTDTC as intermediate date variable (e.g. EXDT)
Set to latest intermediate date variable from above steps where date<=ASTDT                 ",,
ADAE,RDNDT,Date of Recent Dose of Nivo Prior to AE ,Num,8,date9.,,,"Set to latest numeric mapp.EX.EXSTDTC where EXTRT=""Nivolumab"" and EXDOSE>0 and numeric EXSTDTC<=ASTDT",,
ADAE,RDIDT,Date of Recent Dose of Ipi Prior to AE ,Num,8,date9.,,,"Set to latest numeric mapp.EX.EXSTDTC where EXTRT=""Ipilimumab"" and EXDOSE>0 and numeric EXSTDTC<=ASTDT",,
ADAE,RDRDT,Date of Recent Dose of Nivo/Rela FDC Prior to AE ,Num,8,date9.,,,"Set to latest numeric mapp.EX.EXSTDTC where EXTRT=""Relatlimab/Nivolumab FDC"" and EXDOSE>0 and numeric EXSTDTC<=ASTDT",,
ADAE,AEDTHPUB,Death Obtained from Public Records,Char ,200,$200.,,Derived,Set to numeric SUPPAE.QVAL where SUPPAE.QNAM=AEDTHPUB,,
ADAE,AOCC01FL,1st Occurrence of AE leading to Trt D/C,Char,1,$1.,Y,Derived,"Flags the chronologically earliest record by start date (ASTDT) leading to study treatment discontinuation (ATRDISFL = 'Y').
If more than one record with the same ASTDT can be selected, then the record with the lowest AESEQ is flagged.",,
ADAE,ACAUSOTH,Event Related to Other Cause?,Char ,200,$200.,,Derived,"If RELCMFL='Y' then set to 'Con Med'
If AENRCIRL='Y' then set to 'Illness'
If AENRCDRL='Y' the set to 'DUS'

Note: if multiple then concatenate with '; ' in alphabetical order (ex. 'Con Med; DUS')
",,
ADAE,AENOPDFL,AE Not Progressive Disease Flag,Char,1,$1.,Y,Derived,"Flags AEs that are not considered to be related to progressive disease.
Set to ""Y"" unless AEDECOD is among the following:
- “Malignant neoplasm progression""
- ""Disease progression""
- ""Colorectal cancer""
- ""Metastases to bone""
- ""Metastases to central nervous system""
- ""Metastases to spine” ",,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
