Data Set,Variable,Label,Type,Length,Format,Codelist Name,Origin,Derivation / Comments / Predecessor,Core Variable,Notes,XL Comments,,,,,,,,,,
ADSL,ACTARMCD,Actual Arm Code,Char,28,$28.,ARMCD,Predecessor,DM.ACTARMCD,,,,,,,,,,,,,
ADSL,RFICDTC,Date/Time of Informed Consent,Char,19,$19.,,Predecessor,DM.RFICDTC,,,,,,,,,,,,,
ADSL,RFICDT,Date of Informed Consent,Num,8,date9.,,Derived,DM.RFICDTC as a SAS numeric date variable,Y,,,,,,,,,,,,
ADSL,RANDDT,Date of Randomization,Num,8,date9.,,Derived,Date part of DS.DSSTDTC where DSDECOD = 'RANDOMIZED' as a SAS numeric date variable.,Y,,,,,,,,,,,,
ADSL,TRT01P,Planned Treatment for Period 01,Char,52,$52.,TRT01P,Assigned,Set to DM.ARM,Y,,,,,,,,,,,,
ADSL,TRT01PN,Planned Treatment for Period 01 (N),Num,8,best20.,TRT01P_N,Assigned,"From ADSL.TRT01P, assigned as per codelist.",Y,,,,,,,,,,,,
ADSL,TRT01A,Actual Treatment for Period 01,Char,52,$52.,TRT01A,Assigned,"Set to DM.ACTARM. 
If DM.ACTARM is missing and DM.ARM is non-missing, set to ""Not Treated""",Y,,,,,,,,,,,,
ADSL,TRT01AN,Actual Treatment for Period 01 (N),Num,8,best20.,TRT01A_N,Assigned,"From ADSL.TRT01A, assigned as per codelist.",Y,,,,,,,,,,,,
ADSL,TRTSDT,Date of First Exposure to Treatment,Num,8,date9.,,Derived,"Date part of EX.EXSTDTC as a SAS numeric date for the chronologically first record in EX domain where EXDOSE > 0 and EXSTDTC is a complete date.

Alert ST if calculated TRTSDT doesn't match date-part DM.RFXSTDTC.",Y,,,,,,,,,,,,
ADSL,TRTSTM,Time of First Exposure to Treatment,Num,8,time5.,,Derived,"From the chronologically first record in EX domain where EXDOSE > 0, set to the time-part of EX.EXSTDTC or, if missing and SUPPEX.QVAL where QNAM = 'ECSTTX' is non-missing, then set to SUPPEX.QVAL where QNAM = 'ECSTTX'. Derive as a SAS numeric time variable.

Alert ST if calculated TRTSDT doesn't match time-part DM.RFXSTDTC.",Y,,,,,,,,,,,,
ADSL,TRTSDTM,Datetime of First Exposure to Treatment,Num,8,Datetime19.,,Derived,TRTSDT with TRTSTM as a SAS numeric date-time variable. Only populated if both variables are non-missing.,Y,,,,,,,,,,,,
ADSL,NVTRTSDT,Date of First Exposure to Nivolumab,Num,8,date9.,,Derived,"Date part of EX.EXSTDTC as a SAS numeric date for the chronologically first record in EX domain where EXDOSE > 0, EXTRT = 'Nivolumab' and EXSTDTC is a complete date.",,,,,,,,,,,,,
ADSL,NVTRTSTM,Time of First Exposure to Nivolumab,Num,8,time5.,,Derived,"Time part of EX.EXSTDTC as a SAS numeric time for the chronologically first record in EX domain where EXDOSE > 0, EXTRT = 'Nivolumab' and EXSTDTC is has non-missing time.",,,,,,,,,,,,,
ADSL,NVTRSDTM,Datetime of First Exposure to Nivolumab,Num,8,Datetime19.,,Derived,NVTRTSDT with NVTRTSTM as a SAS numeric date-time variable. Only populated if both variables are non-missing.,,,,,,,,,,,,,
ADSL,XLTRTSDT,Date of First Exposure to XL092,Num,8,date9.,,Derived,"Date part of EX.EXSTDTC as a SAS numeric date for the chronologically first record in EX domain where EXDOSE > 0, EXTRT = 'XL092' and EXSTDTC is a complete date.",,,,,,,,,,,,,
ADSL,XLTRTSTM,Time of First Exposure to XL092,Num,8,time5.,,Derived,"Time part of EX.EXSTDTC as a SAS numeric time for the chronologically first record in EX domain where EXDOSE > 0, EXTRT = 'XL092' and EXSTDTC is has non-missing time.",,,,,,,,,,,,,
ADSL,XLTRSDTM,Datetime of First Exposure to XL092,Num,8,Datetime19.,,Derived,XLTRTSDT with XLTRTSTM as a SAS numeric date-time variable. Only populated if both variables are non-missing.,,,,,,,,,,,,,
ADSL,RLTRTSDT,Date of First Exp to Nivo/Rela FDC,Num,8,date9.,,Derived,"Date part of EX.EXSTDTC as a SAS numeric date for the chronologically first record in EX domain where EXDOSE > 0, EXTRT = 'Relatlimab/Nivolumab FDC' and EXSTDTC is a complete date.",,,,,,,,,,,,,
ADSL,RLTRTSTM,Time of First Exp to Nivo/Rela FDC,Num,8,time5.,,Derived,"Time part of EX.EXSTDTC as a SAS numeric time for the chronologically first record in EX domain where EXDOSE > 0, EXTRT = 'Relatlimab/Nivolumab FDC' and EXSTDTC is has non-missing time.",,,,,,,,,,,,,
ADSL,RLTRSDTM,Datetime of First Exp to Nivo/Rela FDC,Num,8,Datetime19.,,Derived,RLTRTSDT with RLTRTSTM as a SAS numeric date-time variable. Only populated if both variables are non-missing.,,,,,,,,,,,,,
ADSL,IPTRTSDT,Date of First Exposure to Ipilimumab ,Num,8,date9.,,Derived,"Date part of EX.EXSTDTC as a SAS numeric date for the chronologically first record in EX domain where EXDOSE > 0, EXTRT = 'Ipilimumab' and EXSTDTC is a complete date.",,,,,,,,,,,,,
ADSL,IPTRTSTM,Time of First Exposure to Ipilimumab ,Num,8,time5.,,Derived,"Time part of EX.EXSTDTC as a SAS numeric time for the chronologically first record in EX domain where EXDOSE > 0, EXTRT = 'Ipilimumab' and EXSTDTC is has non-missing time.",,,,,,,,,,,,,
ADSL,IPTRSDTM,Datetime of First Exposure to Nivolumab,Num,8,Datetime19.,,Derived,IPTRTSDT with IPTRTSTM as a SAS numeric date-time variable. Only populated if both variables are non-missing.,,,,,,,,,,,,,
ADSL,TRTEDT,Date of Last Exposure to Treatment,Num,8,date9.,,Derived,"Calculated as the maximum date from among (ADSL.NVTRTEDT, ADSL.XLTRTEDT, ADSL.IPTRTEDT, ADSL.RLTRTEDT, ADSL.ITRTEDT).",Y,,,,,,,,,,,,
ADSL,TRTEDTF,Date of Last Exposure Imput. Flag,Char,1,$1.,DATEFL,Assigned,"Based on ADSL.TRTEDT source date imputation. Set to:
Y if entire date is imputed
M if month and day are imputed
D if only day is imputed
null if source date was not imputed.",,,,,,,,,,,,,
ADSL,NVTRTEDT,Date of Last Exposure to Nivolumab,Num,8,date9.,,Derived,"Date part of EX.EXENDTC as a SAS numeric date for the chronologically last record in EX domain where EXDOSE > 0, EXTRT = 'Nivolumab'.
In the event of partial dates, follow imputation rules given for XLTRTEDT.
For imputations, date decision to stop treatment from EOT CRF is ADSL.EONDCDT.
",,,"ML 3/29/2023: Can we have imputation flag for Nivo?
MS 3APR2023: Added to derivation and added flag below",,,,,,,,,,
ADSL,NTRTEDTF,Date of Last Exposure to Nivo Imput Fl,Char,1,$1.,DATEFL,Assigned,"Based on ADSL.NVTRTEDT imputation. Set to:
Y if entire date is imputed
M if month and day are imputed
D if only day is imputed
null if source date was not imputed.",,,,,,,,,,,,,
ADSL,NVTRTETM,Time of Last Exposure to Nivolumab,Num,8,time5.,,Derived,"Time part of EX.EXENDTC as a SAS numeric date for the chronologically last record in EX domain where EXDOSE > 0, EXTRT = 'Nivolumab'.
Do not impute time.
",,,,,,,,,,,,,
ADSL,NVTREDTM,Datetime of Last Exposure to Nivolumab,Num,8,Datetime19.,,Derived,NVTRTSDT with NVTRTSTM as a SAS numeric date-time variable. Only populated if both variables are non-missing.,,,,,,,,,,,,,
ADSL,XLTRTEDT,Date of Last Exposure to XL092,Num,8,date9.,,Derived,"Date part of EX.EXENDTC as a SAS numeric date for the chronologically last record in EX domain where EXDOSE > 0, EXTRT = 'XL092'.
In the event of partial dates, sort records in EX domain by: year(EXSTDTC), year(EXENDTC), month(EXSTDTC), month(EXENDTC), day(EXSTDTC), day(EXENDTC). For the purposes of sorting, if date component (year, day, month) is missing from EXSTDTC and is non-missing from EXENDTC, or vice versa, use the opposite date component in the sort (e.g. if month of EXENDTC is missing and month of EXSTDTC is non-missing, use month of EXSTDTC in place of month(EXENDTC) for sorting).

After sorting, impute partial EXENDTC values as follows:
Define the ""next sequential dosing milestone"" as the earliest of the chronologically next EXSTDTC date in EX domain for the given treatment, date of decision to stop treatment from EOT CRF (ADSL.EOXDCDT) or the cutoff date (ADSL.CUTDT).
If EXENDTC is completely missing: set to date of ""next sequential dosing milestone” - 1.
If year is present but month/day are missing: set to the earlier of (December 31st, {""next sequential dosing milestone"" - 1}).
If only day is missing: set to the earlier of (last day of the month, {""next sequential dosing milestone"" - 1}).",,Imputation rules require review/to be updated based on SAP,"No imputation needed.
",,,,,,,,,,
ADSL,XTRTEDTF,Date of Last Exposure to XL092 Imput Fl,Char,1,$1.,DATEFL,Assigned,"Based on ADSL.XLTRTEDT imputation. Set to:
Y if entire date is imputed
M if month and day are imputed
D if only day is imputed
null if source date was not imputed.",,,,,,,,,,,,,
ADSL,XLTRTETM,Time of Last Exposure to XL092,Num,8,time5.,,Derived,"Time part of EX.EXENDTC as a SAS numeric date for the chronologically last record in EX domain where EXDOSE > 0, EXTRT = 'XL092'.
Do not impute time.
",,,,,,,,,,,,,
ADSL,XLTREDTM,Datetime of Last Exposure to XL092,Num,8,Datetime19.,,Derived,XLTRTSDT with XLTRTSTM as a SAS numeric date-time variable. Only populated if both variables are non-missing.,,,,,,,,,,,,,
ADSL,RLTRTEDT,Date of Last Exp to Nivo/Rela FDC,Num,8,date9.,,Derived,"Date part of EX.EXENDTC as a SAS numeric date for the chronologically last record in EX domain where EXDOSE > 0, EXTRT = 'Relatlimab/Nivolumab FDC'.
In the event of partial dates, follow imputation rules given for XLTRTEDT.
For imputations, date decision to stop treatment from EOT CRF is ADSL.EORDCDT.",,Imputation rules require review/to be updated based on SAP,"No imputation needed.
",,,,,,,,,,
ADSL,RTRTEDTF,Date of Last Exp Nivo/Rela FDC Imput Fl,Char,1,$1.,DATEFL,Assigned,"Based on ADSL.RLTRTEDT imputation. Set to:
Y if entire date is imputed
M if month and day are imputed
D if only day is imputed
null if source date was not imputed.",,,,,,,,,,,,,
ADSL,RLTRTETM,Time of Last Exp to Nivo/Rela FDC,Num,8,time5.,,Derived,"Time part of EX.EXENDTC as a SAS numeric date for the chronologically last record in EX domain where EXDOSE > 0, EXTRT = 'Relatlimab/Nivolumab FDC'.
Do not impute time.
",,,,,,,,,,,,,
ADSL,RLTREDTM,Datetime of Last Exp to Nivo/Rela FDC,Num,8,Datetime19.,,Derived,RLTRTSDT with RLTRTSTM as a SAS numeric date-time variable. Only populated if both variables are non-missing.,,,,,,,,,,,,,
ADSL,IPTRTEDT,Date of Last Exposure to Ipilimumab,Num,8,date9.,,Derived,"Date part of EX.EXENDTC as a SAS numeric date for the chronologically last record in EX domain where EXDOSE > 0, EXTRT = 'Ipilimumab'.
In the event of partial dates, follow imputation rules given for XLTRTEDT.
For imputations, date decision to stop treatment from EOT CRF is ADSL.EORDCDT.",,,,,,,,,,,,,
ADSL,ITRTEDTF,Date of Last Exposure to Ipi Imput Fl,Char,1,$1.,DATEFL,Assigned,"Based on ADSL.ILTRTEDT imputation. Set to:
Y if entire date is imputed
M if month and day are imputed
D if only day is imputed
null if source date was not imputed.",,,,,,,,,,,,,
ADSL,IPTRTETM,Time of Last Exposure to Ipilimumab,Num,8,time5.,,Derived,"Time part of EX.EXENDTC as a SAS numeric date for the chronologically last record in EX domain where EXDOSE > 0, EXTRT = 'Ipilimumab'.
Do not impute time.
",,,,,,,,,,,,,
ADSL,IPTREDTM,Datetime of Last Exposure to Ipilimumab,Num,8,Datetime19.,,Derived,IPTRTSDT with IPTRTSTM as a SAS numeric date-time variable. Only populated if both variables are non-missing.,,,,,,,,,,,,,
ADSL,EOTSTT,End of Treatment Status,Char,12,$12.,SBJTSTAT,Derived,"If ADSL.EOTDCDT is non-missing, then set to ""DISCONTINUED"".
Otherwise, if ADSL.SAFFL = 'Y', then set to ""ONGOING"".
Null if ADSL.SAFFL = 'N'.",,,,,,,,,,,,,
ADSL,EONDCDT,Date of Decision to Discontinue Nivo,Num,8,date9.,,Derived,"Calculate as DS.DSSTDTC where DS.DSSCAT= ""END OF STUDY TREATMENT- NIVOLUMAB"" as a SAS numeric date variable.",,,,,,,,,,,,,
ADSL,EONDCDY,Study Day of Decision to Discont. Nivo,Num,8,best20.,,Derived,If non-missing EONDCDT then set to EONDCDT-TRTSDT+1,,,,,,,,,,,,,
ADSL,EOXDCDT,Date of Decision to Discontinue XL092,Num,8,date9.,,Derived,"Calculate as DS.DSSTDTC where DS.DSSCAT= ""END OF STUDY TREATMENT- XL092"" as a SAS numeric date variable.",,,,,,,,,,,,,
ADSL,EOXDCDY,Study Day of Decision to Discont. XL092,Num,8,best20.,,Derived,If non-missing EOXDCDT then set to EOXDCDT-TRTSDT+1,,,,,,,,,,,,,
ADSL,EORDCDT,Date of Dec. to Discont. Nivo/Rela FDC,Num,8,date9.,,Derived,"Calculate as DS.DSSTDTC where DS.DSSCAT= ""END OF STUDY TREATMENT - RELATLIMAB/NIVOLUMAB FDC"" as a SAS numeric date variable.",,,,,,,,,,,,,
ADSL,EORDCDY,Stdy of Dec. to Discont. Nivo/Rela FDC,Num,8,best20.,,Derived,If non-missing EORDCDT then set to EORDCDT-TRTSDT+1,,,,,,,,,,,,,
ADSL,EOIDCDT,Date of Decision to Discontinue Ipi,Num,8,date9.,,Derived,"Calculate as DS.DSSTDTC where DS.DSSCAT= ""END OF STUDY TREATMENT- IPILIMUMAB"" as a SAS numeric date variable.",,,,,,,,,,,,,
ADSL,EOIDCDY,Study Day of Decision to Discont. Ipi,Num,8,best20.,,Derived,If non-missing EOIDCDT then set to EOIDCDT-TRTSDT+1,,,,,,,,,,,,,
ADSL,EOTDCDT,Date of Decision to Disc. Core Treatment,Num,8,date9.,,Derived,"If TRT01P indicates single agent XL092 and  ADSL.EOXDCDT is non-missing, set to ADSL.EOXDCDT.
Otherwise, MAX(EOXDCDT,EONDCDT, EOIDCDT, EORDCDT) with the following conditions:
If TRT01P indicates XL092 + Nivo, only populate if both EOXDCDT and EONDCDT are both non-missing
If TRT01P indicates XL092 + Nivo + Ipi, only populate if  EOXDCDT and EONDCDT and EOIDCDT are all non-missing
If TRT01P indicates XL092 + Nivo + Rel, only populate if  EOXDCDT and EONDCDT and EORDCDT are all non-missing",,,,,,,,,,,,,
ADSL,EOTDCDY,Study Day of Decision to Disc. Core Trt,Num,8,best20.,,Derived,If non-missing EOTDCDT then set to EOTDCDT-TRTSDT+1,,,,,,,,,,,,,
ADSL,TRTDURD,Total Treatment Duration (Days),Num,8,best20.,,Derived,"Total treatment duration across all study treatments given.
Defined as:
Earlier of (Date of decision to discontinue study treatment, death date, cutoff date) – date of first dose + 1.
Calculated as:
Min(EOTDCDT, DTHDT, CUTDT) - TRTSDT + 1",,,,,,,,,,,,,
ADSL,TRTDURM,Total Treatment Duration (Months),Num,8,best20.,,Derived,"Total treatment duration across all study treatments given.
Defined as:
(Earlier of (Date of decision to discontinue study treatment, death date, cutoff date) – date of first dose + 1)/30.4375.
Calculated as:
(Min(EOTDCDT, DTHDT, CUTDT) - TRTSDT + 1)/30.4375",,,,,,,,,,,,,
ADSL,TRDURGR1,Pooled Treatment Duration Group 1,Char,10,$10.,,Derived,"Set per TRTDURM;
<1 = '<1 month'
>=1 month = '>= 1 month'
>=3 => '>=3 months'
>=6 => '>=6 months'
>=9 => '>=9 months'
>=12 => '>=12 months'
",,,,,,,,,,,,,
ADSL,XTRDRGR1,Pooled XL092 Duration Group 1,Char,10,$10.,,Derived,"Set per XTRTDURM;
<1 = '<1 month'
>=1 month = '>= 1 month'
>=3 => '>=3 months'
>=6 => '>=6 months'
>=9 => '>=9 months'
>=12 => '>=12 months'
",,,,,,,,,,,,,
ADSL,NTRDRGR1,Pooled Nivolumab Duration Group 1,Char,10,$10.,,Derived,"Set per NTRTDURM;
<1 = '<1 month'
>=1 month = '>= 1 month'
>=3 => '>=3 months'
>=6 => '>=6 months'
>=9 => '>=9 months'
>=12 => '>=12 months'
",,,,,,,,,,,,,
ADSL,RTRDRGR1,Pooled Nivo/Rela FDC Duration Group 1,Char,10,$10.,,Derived,"Set per RTRTDURM;
<1 = '<1 month'
>=1 month = '>= 1 month'
>=3 => '>=3 months'
>=6 => '>=6 months'
>=9 => '>=9 months'
>=12 => '>=12 months'
",,,,,,,,,,,,,
ADSL,ITRDRGR1,Pooled Ipilimumab Duration Group 1,Char,10,$10.,,Derived,"Set per ITRTDURM;
<1 = '<1 month'
>=1 month = '>= 1 month'
>=3 => '>=3 months'
>=6 => '>=6 months'
>=9 => '>=9 months'
>=12 => '>=12 months'
",,,,,,,,,,,,,
ADSL,FUDURM,Follow-up Duration (Months),Num,8,best20.,,Derived,"Calculated as:
(CUTDT - TRTSDT + 1)/30.4375",,,"ML 9/20/24: Update derivation as follows:                             If EOTSTT='DISCONTINUED' then NTRTDURD=NVTRTEDT - NVTRTSDT +1
If EOTSTT='ONGOING' then NTRTDURD=CUTDT-NVTRTSDT + 1",,,,,,,,,,
ADSL,NTRTDURD,Total Nivolumab  Duration (Days),Num,8,best20.,,Derived,"NVTRTEDT - NVTRTSDT +1

If EOTSTT='DISCONTINUED' then NTRTDURD=NVTRTEDT - NVTRTSDT +1
If EOTSTT='ONGOING' then NTRTDURD=CUTDT-NVTRTSDT + 1",,,ML 9/20/24: Make updates as above and divide by 30.4375 to get dur in months.,,,,,,,,,,
ADSL,NTRTDURM,Total Nivolumab  Duration (Months),Num,8,best20.,,Derived,(ADSL.NTRTDURD)/30.4375,,,"ML 9/20/24: Update derivation as follows:                             If EOTSTT='DISCONTINUED' then RTRTDURD=RLTRTEDT - RLTRTSDT +1
If EOTSTT='ONGOING' then RTRTDURD=CUTDT-RLTRTSDT + 1",,,,,,,,,,
ADSL,RTRTDURD,Total Nivo/Rela FDC Duration (Days),Num,8,best20.,,Derived,"RLTRTEDT - RLTRTSDT +1

If EOTSTT='DISCONTINUED' then RTRTDURD=RLTRTEDT - RLTRTSDT +1
If EOTSTT='ONGOING' then RTRTDURD=CUTDT-RLTRTSDT + 1",,,ML 9/20/24: Make updates as above and divide by 30.4375 to get dur in months.,,,,,,,,,,
ADSL,RTRTDURM,Total Nivo/Rela FDC Duration (Months),Num,8,best20.,,Derived,(ADSL.RTRTDURD)/30.4375,,,,,,,,,,,,,
ADSL,ITRTDURD,Total Ipilimumab Duration (Days),Num,8,best20.,,Derived,"RLTRTEDT - RLTRTSDT +1

If EOTSTT='DISCONTINUED' then ITRTDURD=ITRTEDT - ITRTSDT +1
If EOTSTT='ONGOING' then ITRTDURD=CUTDT-ITRTSDT + 1",,,,,,,,,,,,,
ADSL,ITRTDURM,Total Ipilimumab Duration (Months),Num,8,best20.,,Derived,(ADSL.ITRTDURD)/30.4375,,,,,,,,,,,,,
ADSL,XTRTDURD,Total XL092 Duration (Days),Num,8,best20.,,Derived,XLTRTEDT - XLTRTSDT +1,,,,,,,,,,,,,
ADSL,XTRTDURM,Total XL092 Duration (Months),Num,8,best20.,,Derived,(XLTRTEDT - XLTRTSDT +1)/30.4375,,,,,,,,,,,,,
ADSL,DCTREAS,Reason for Discontinuation of Treatment,Char,200,$200.,DCTREAS_C,Derived,"Only populate when ^missing EOTDCDT. 

Find the variable with the greatest non-missing value from among EOXDCDT, EONDCDT, EOIDCDT, EORDCDT. In case of ties, select the variable in the order given.
Assign DCTREAS based on the variable with the latest date:
If EOXDCDT is the lastest date then set DCTREAS to DCTREASX,
If EONDCDT, set DCTREAS to DCTREASN
If EOIDCDT, set DCTREAS to DCTREASI
If EORDCDT, set DCTREAS to DCTREASR
",,,ML 1/8/25: Add 'SUBJECT REQUEST' codelist to codelist sheet to set it to 'Subject request' in DCTREAS in specs for ADSL.,,,,,,,,,,
ADSL,DCTREASN,Reason for Discontinuation of Nivo,Char,200,$200.,DCTREAS_C,Derived,"Set to the decoded value of DS.DSDECOD from the record where DS.DSSCAT= ""END OF STUDY TREATMENT- NIVOLUMAB"", as per the codelist.

If DS.DSDECOD is null, but EONDCDT is non-missing, set to ""Missing/data not yet received"".

Only populate if SAFFL = 'Y'.",,,,,,,,,,,,,
ADSL,DCTREASX,Reason for Discontinuation of XL092,Char,200,$200.,DCTREAS_C,Derived,"Set to the decoded value of DS.DSDECOD from the record where DS.DSSCAT= ""END OF STUDY TREATMENT- XL092"", as per the codelist.

If DS.DSDECOD is null, but EOXDCDT is non-missing, set to ""Missing/data not yet received"".

Only populate if SAFFL = 'Y'.",,,,,,,,,,,,,
ADSL,DCTREASR,Reason for Discont. of Nivo/Rela FDC,Char,200,$200.,DCTREAS_C,Derived,"Set to the decoded value of DS.DSDECOD from the record where DS.DSSCAT= ""END OF STUDY TREATMENT - RELATLIMAB/NIVOLUMAB FDC"", as per the codelist.

If DS.DSDECOD is null, but EORDCDT is non-missing, set to ""Missing/data not yet received"".

Only populate if SAFFL = 'Y'.",Y,,,,,,,,,,,,
ADSL,DCTREASI,Reason for Discontinuation of Ipi,Char,200,$200.,DCTREAS_C,Derived,"Set to the decoded value of DS.DSDECOD from the record where DS.DSSCAT= ""END OF STUDY TREATMENT - IPILIMUMAB"", as per the codelist.

If DS.DSDECOD is null, but EOIDCDT is non-missing, set to ""Missing/data not yet received"".

Only populate if SAFFL = 'Y'.",,,,,,,,,,,,,
ADSL,EOSSTT,End of Study Status,Char,12,$12.,SBJTSTAT,Derived,"If there exists a record in DS domain where DS.DSSCAT='END OF SURVIVAL FOLLOW-UP', then set to ""DISCONTINUED"".
Else if ADSL.SCREENFL = 'Y' and ADSL.SCRNFFL ne 'Y', then set to ""ONGOING"".
Otherwise, null if ADSL.SAFFL = 'N'.",,,,,,,,,,,,,
