Data Set,Variable,Label,Type,Length,Format,Codelist Name,Origin,Derivation / Comments / Predecessor,Notes,XL Comments,
ADVS,ATPTN,Analysis Timepoint (N),Num,8,best20.,,Assigned,Set to VS.VSTPTNUM,,,
ADVS,PARAM,Parameter,Char,100,$100.,,Assigned,Set to VS.VSTEST with VS.VSSTRESU  concatenated and enclosed in parentheses. If VS.VSSTRESU is missing then populate with standard unit for the parameter.,,,
ADVS,PARAMCD,Parameter Code,Char,8,$8.,,Assigned,Set to VS.VSTESTCD,,,
ADVS,PARAMN,Parameter (N),Num,8,best20.,,Assigned,"Assigned based on PARAMCD, as per the codelist",,,
ADVS,AVAL,Analysis Value,Num,8,best20.,,Assigned,Set to VS.VSSTRESN,,,
ADVS,ABLFL,Baseline Record Flag,Char,1,$1.,,Derived,"Set to 'Y' on last record with non-missing AVAL per USUBJID PARAMCD where (ADT=TRTSDT and ADT not missing and ATM<TRTSTM and ATM not = missing) or
(ADT=TRTSDT and ADT not missing and ATM is missing and ATPT = 'Pre-dose') or
(ADT<TRTSDT and ADT not missing) when sorting by USUBJID PARAMCD ADT ATM.  ",,,
ADVS,PSBLFL,Post-Baseline Record Flag,Char,1,$1.,,Derived,"Set to 'Y' on all records with non-missing AVAL per USUBJID PARAMCD where (ADT=TRTSDT and ADT not missing and ATM>=TRTSTM and TRTSTM not = missing) or
(ADT=TRTSDT and ADT not missing and ATM is missing and ATPT contains 'Post') or
(ADT>TRTSDT and TRTSDT not missing).",,,
ADVS,BASE,Baseline Value,Num,8,best20.,,Derived,Set to AVAL where ABLFL='Y' per USUBJID PARAMCD.,,,
ADVS,CHG,Change from Baseline,Num,8,best20.,,Derived,Set to AVAL-BASE where PSBLFL='Y'.,,,
ADVS,PCHG,Percent Change from Baseline,Num,8,best20.,,Derived,Set to (CHG/BASE)*100 where PSBLFL='Y' if BASE is not missing and non-zero.,,,
ADVS,CRIT1,Analysis Criterion 1,Char,50,$50.,,Derived,If VS.VSCLSIG = 'Y' then set to 'Clinically Significant',,,
ADVS,CRIT1FL,Criterion 1 Evaluation Result Flag,Char,1,$1.,,Assigned,Set to 'Y' if CRIT1 non-missing,,,
ADVS,CRIT2,Analysis Criterion 2,Char,50,$50.,,Derived,See VLM tab.,,,
ADVS,CRIT2FL,Criterion 2 Evaluation Result Flag,Char,1,$1.,,Assigned,Set to 'Y' if CRIT2 non-missing,,,
ADVS,CRIT3,Analysis Criterion 3,Char,50,$50.,,Derived,See VLM tab.,,,
ADVS,CRIT3FL,Criterion 3 Evaluation Result Flag,Char,1,$1.,,Assigned,Set to 'Y' if CRIT3 non-missing,,,
ADVS,ANL01FL,Analysis Flag 01 (Scheduled Visits),Char,1,$1.,,Derived,"Set to 'Y' on last record per USUBJID PARAMCD AVISITN ATPT where PSBLFL='Y' and AVAL not missing when sorting by USUBJID PARAMCD AVISITN ATPT ADT ATM VSSEQ.
Null if it's unscheduled visit.",,,
