Data Set,Variable,Label,Type,Length,Format,Codelist Name,Origin,Derivation / Comments / Predecessor,Notes,XL Comments,
ADRS,CONFPRFL,Confirmed PR Flag,Char,1,$1.,Y,Derived,"Overall responses of PR must be confirmed by an assessment at least 28 days later. CONFPRFL flags overall response records of PR  (where (PARAMCD = 'OVRLRIVR'  or ( PARAMCD='OVRLRBI' and ACEPTFL='Y'))  and AVALC = ""PR"") which are subsequently confirmed. Only records that occur prior to subsequent anti-cancer therapy (where PREACTFL = 'Y' ), prior to first PD (where PREPDFL = 'Y'), and on/prior to analysis cut date (ADRS.ADT <= ADSL.CUTDT) are considered.

CONFPRFL is set to 'Y' on the earliest record with AVALC  = 'PR' which also has a later overall response record with AVALC in ('CR', 'PR') and ADT from the later response is at least 28 days after the first response ({2nd ADT - 1st ADT} >= 28).

Note: the second confirmatory record may occur after other intervening responses. Intervening OVRLRIVR records may have AVALC in ('NE', 'PR', 'CR').

Alert DM if an intervening record has AVALC = 'PD'  as it should not be possible to observe a subsequent PR or CR after a PD.",,,
ADRS,UCRFL,Unconfirmed CR Flag,Char,1,$1.,Y,Derived,"Flags overall response records with a response of CR (where (PARAMCD = 'OVRLRIVR'  or ( PARAMCD='OVRLRBI' and ACEPTFL='Y'))  and AVALC = ""CR"") that are not later confirmed (CONFCRFL = null on all records) and occur prior to subsequent anti-cancer therapy (where PREACTFL = 'Y' ),  prior to first PD (where PREPDFL = 'Y'), and on/prior to analysis cut date (ADRS.ADT <= ADSL.CUTDT).",,,
ADRS,UPRFL,Unconfirmed PR Flag,Char,1,$1.,Y,Derived,"Flags overall response records with a response of PR (where (PARAMCD = 'OVRLRIVR'  or ( PARAMCD='OVRLRBI' and ACEPTFL='Y'))  and AVALC = ""PR"") that are not later confirmed (CONFPRFL = null on all records) and occur prior to subsequent anti-cancer therapy (where PREACTFL = 'Y' ), prior to first PD (where PREPDFL = 'Y'), and on/prior to analysis cut date (ADRS.ADT <= ADSL.CUTDT).",,,
ADRS,SDDYFL,SD At Least 49 Days After Randomization,Char,1,$1.,Y,Derived,"Flags overall response records that are otherwise considered as ""SD"" (where (PARAMCD = 'OVRLRIVR'  or ( PARAMCD='OVRLRBI' and ACEPTFL='Y'))  and AVALC in ('NON-CR/NON-PD', 'SD', 'PR', 'CR') and CONFPRFL = '' and CONFCRFL = '') that occur prior to subsequent anti-cancer therapy (where PREACTFL = 'Y' ), prior to first PD (where PREPDFL = 'Y'), and occur at least 49 days after randomization ( (ADT-RANDDT) >=49)",,,
ADRS,PVATADT,Previous Tumor Assessment Date,Num,8.,date9.,,Derived,"On Overall Response Records (where PARAMCD in ('OVRLRIVR' 'OVRLRBI' 'OVRLRPC')), populated with the date of the chronologically previous adequate tumor assessment (ATA)
Only check for the same type of assessment: 
RSCAT=""RECIST 1.1"" and RSEVAL=""INVESTIGATOR"".
RSCAT=""PCWG3"" and RSEVAL=""INVESTIGATOR"".
RSCAT=""RECIST 1.1"" and RSEVAL=""INDEPENDENT ASSESSOR""  and ACEPTFL='Y'
RSCAT=""PCWG3"" and RSEVAL=""INDEPENDENT ASSESSOR""  and ACEPTFL='Y'
Set to ADT from the previous record (by ADT) within the PARAMCD where AVALC not missing or ""NE"". Do not populate if missing ADT.
If no previous ATA, set to date of randomization (ADSL.RANDDT).",,,
ADRS,ATADIFDY,Days Since Previous ATA,Num,8,best20.,,Derived,ADT-PVATADT,,,
ADRS,CRIT1,Analysis Criterion 1,Char,94,$94.,CRITRS1,Assigned,"Populated only when CRIT1FL = 'Y'.

Set to ""Two or more missing adequate tumor assessments immediately prior to this scan.""",,,
ADRS,CRIT1FL,Criterion 1 Evaluation Result Flag,Char,1,$1.,Y,Derived,"Flags records, if the scan occurred after two or more adequate tumor assessments were missed. Only check for the same type of assessment: 
RSCAT=""RECIST 1.1"" and RSEVAL=""INVESTIGATOR"".
RSCAT=""PCWG3"" and RSEVAL=""INVESTIGATOR"".
RSCAT=""RECIST 1.1"" and RSEVAL=""INDEPENDENT ASSESSOR"" and ACEPTFL='y'
RSCAT=""PCWG3"" and RSEVAL=""INDEPENDENT ASSESSOR"" and ACEPTFL='y'

Tumor assessments are every 9 weeks (+/- 5 days) through Week 54, then every 12 weeks thereafter.
If ADY <= 392, then set to 'Y' if ATADIFDY > 122
If 392 < ADY <= 483, then set to 'Y' if ATADIFDY > 152
If ADY > 483, then set to 'Y' if ATADIFDY > 182",,,
,,,,,,,,,,"XW 2/14/2025: There are reader 1 and reader 2 data in BIRC datasets. Create a imputed acceptance flag, if the acceptance flag is non-missing in BIRC, choose the same value as in acceptance flag; if the acceptance is missing, choose reader 1's data. The imputed flag can be added to either ADSL or this dataset.",
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
