ID,Name,NCI Codelist Code,Data_Type,Term,NCI Term Code,Decoded_Value,Numeric_Value,Order,Notes,XL Comments
CSTGCAT,Disease Stage Categories,,text,Stage III,,,3,4,,
CSTGCAT,Disease Stage Categories,,text,Stage IV,,,4,5,,
CSTGCAT,Disease Stage Categories,,text,Missing,,,5,6,,
AREL,AREL,,text,NOT RELATED,,,,1,,
AREL,AREL,,text,RELATED,,,,2,,
ARMCD,ARMCD,,text,XL092_100+NIVO360,,XL092 100 MG + NIVOLUMAB 360 MG,1,1,,
ARMCD,ARMCD,,text,XL092_40+NIVO3+IPI1,,XL092 40 MG + NIVOLUMAB 3 MG/KG + IPILIMUMAB 1 MG/KG,2,2,,
ARMCD,ARMCD,,text,XL092_60+NIVO3+IPI1,,XL092 60 MG + NIVOLUMAB 3 MG/KG + IPILIMUMAB 1 MG/KG,3,3,,
ARMCD,ARMCD,,text,XL092_80+NIVO3+IPI1,,XL092 80 MG + NIVOLUMAB 3 MG/KG + IPILIMUMAB 1 MG/KG,4,4,,
ARMCD,ARMCD,,text,XL092_100,,XL092 100 MG,5,5,,
ARMCD,ARMCD,,text,XL092_100+NIVO480,,XL092 100 MG + NIVOLUMAB 480 MG,6,6,,
ARMCD,ARMCD,,text,XL092_60+NIVO480+RELATLIMAB,,XL092 60 MG + NIVOLUMAB 480 MG + RELATLIMAB 480 MG,7,7,,
ARMCD,ARMCD,,text,XL092_100+NIVO480+RELATLIMAB,,XL092 100 MG + NIVOLUMAB 480 MG + RELATLIMAB 480 MG,8,8,,
ATOXDSH,Analysis Toxicity Description High,,text,Alkaline phosphatase increased,,,,1,,
ATOXDSH,Analysis Toxicity Description High,,text,Alanine aminotransferase increased,,,,2,,
ATOXDSH,Analysis Toxicity Description High,,text,Serum amylase increased,,,,3,,
ATOXDSH,Analysis Toxicity Description High,,text,Aspartate aminotransferase increased,,,,4,,
ATOXDSH,Analysis Toxicity Description High,,text,Blood bilirubin increased,,,,5,,
ATOXDSH,Analysis Toxicity Description High,,text,Hypercalcemia,,,,6,,
ATOXDSH,Analysis Toxicity Description High,,text,Serum creatinine increased,,,,7,,
ATOXDSH,Analysis Toxicity Description High,,text,GGT increased,,,,8,,
ATOXDSH,Analysis Toxicity Description High,,text,Hyperglycemia,,,,9,,
ATOXDSH,Analysis Toxicity Description High,,text,Hyperkalemia,,,,10,,
ATOXDSH,Analysis Toxicity Description High,,text,Blood lactate dehydrogenase increased,,,,11,,
ATOXDSH,Analysis Toxicity Description High,,text,Lipase increased,,,,12,,
ATOXDSH,Analysis Toxicity Description High,,text,Hypermagnesemia,,,,13,,
ATOXDSH,Analysis Toxicity Description High,,text,Hypernatremia,,,,14,,
ATOXDSH,Analysis Toxicity Description High,,text,Eosinophilia,,,,15,,
ATOXDSH,Analysis Toxicity Description High,,text,Hemoglobin increased,,,,16,,
ATOXDSH,Analysis Toxicity Description High,,text,Lymphocyte count increased,,,,17,,
ATOXDSH,Analysis Toxicity Description High,,text,Leukocytosis,,,,18,,
ATOXDSL,Analysis Toxicity Description Low,,text,Hypoalbuminemia,,,,1,,
ATOXDSL,Analysis Toxicity Description Low,,text,Hypocalcemia,,,,3,,
ATOXDSL,Analysis Toxicity Description Low,,text,Hypoglycemia,,,,4,,
ATOXDSL,Analysis Toxicity Description Low,,text,Hypokalemia,,,,5,,
ATOXDSL,Analysis Toxicity Description Low,,text,Hypomagnesemia,,,,6,,
ATOXDSL,Analysis Toxicity Description Low,,text,Hyponatremia,,,,7,,
ATOXDSL,Analysis Toxicity Description Low,,text,Hypophosphatemia,,,,,,
ATOXDSL,Analysis Toxicity Description Low,,text,Anemia,,,,8,,
ATOXDSL,Analysis Toxicity Description Low,,text,Lymphocytes decreased,,,,9,,
ATOXDSL,Analysis Toxicity Description Low,,text,Neutrophils (ANC) decreased,,,,10,,
ATOXDSL,Analysis Toxicity Description Low,,text,Platelets decreased,,,,11,,
ATOXDSL,Analysis Toxicity Description Low,,text,Leukopenia,,,,12,,
ATOXGR,Analysis Toxicity Grading,,text,Grade 0,,,0,0,,
ATOXGR,Analysis Toxicity Grading,,text,Grade 1,,,1,1,,
ATOXGR,Analysis Toxicity Grading,,text,Grade 2,,,2,2,,
ATOXGR,Analysis Toxicity Grading,,text,Grade 3,,,3,3,,
ATOXGR,Analysis Toxicity Grading,,text,Grade 4,,,4,4,,
CMACAT,Con Med Analysis Categories,,text,Con Med,,Prior and Concomitant Medications,,1,,
CMACAT,Con Med Analysis Categories,,text,Prior ACT,,History of Anti-Cancer Therapies,,2,,
CMACAT,Con Med Analysis Categories,,text,Subq ACT,,Concomitant and Subsequent Anti-Cancer Therapies,,3,,
CMCAT,Concomitant Medication Categories,,text,PRIOR AND CONCOMITANT MEDICATIONS,,,,1,,
CMCAT,Concomitant Medication Categories,,text,HISTORY OF ANTI-CANCER THERAPIES,,,,2,,
CMCAT,Concomitant Medication Categories,,text,CONCOMITANT AND SUBSEQUENT ANTI-CANCER THERAPIES,,,,3,,
CMINDTYP,Concomitant Medication Indication Type,,text,MEDICAL HISTORY,,,,1,,
CMINDTYP,Concomitant Medication Indication Type,,text,ADVERSE EVENT,,,,2,,
CMINDTYP,Concomitant Medication Indication Type,,text,PROPHYLAXIS,,,,3,,
CMREAS,Reason for discontinuation of regimen,,text,OTHER,,Other,,1,,
CMREAS,Reason for discontinuation of regimen,,text,COMPLETION OF THERAPY,,Completion of Therapy,,2,,
CMREAS,Reason for discontinuation of regimen,,text,ADVERSE EVENT,,Adverse Event,,3,,
CMREAS,Reason for discontinuation of regimen,,text,PROGRESSIVE DISEASE,,Progressive Disease,,4,,
CMROUTE,Medication Route,,text,SUBCUTANEOUS,,SC,,1,,
CMROUTE,Medication Route,,text,TRANSDERMAL,,Transdermal,,2,,
CMROUTE,Medication Route,,text,INTRAPERITONEAL,,IP,,3,,
CMROUTE,Medication Route,,text,TOPICAL,,Topical,,4,,
CMROUTE,Medication Route,,text,INTRAMUSCULAR,,IM,,5,,
CMROUTE,Medication Route,,text,INTRAVENOUS,,IV,,6,,
CMROUTE,Medication Route,,text,OTHER,,Other,,7,,
CMROUTE,Medication Route,,text,ORAL,,Oral,,8,,
CMSCAT,Concomitant Medication Sub-Category,,text,LOCAL,,Local,,1,,
CMSCAT,Concomitant Medication Sub-Category,,text,SYSTEMIC,,Systemic,,2,,
CMSCAT,Concomitant Medication Sub-Category,,text,OTHER,,Other,,3,,
CMSCAT,Concomitant Medication Sub-Category,,text,UNKNOWN,,Unknown,,4,,
CMTRTSTT,Treatment Setting,,text,METASTATIC,,,,1,,
CMTRTSTT,Treatment Setting,,text,NEOADJUVANT,,,,2,,
CMTRTSTT,Treatment Setting,,text,OTHER,,,,3,,
CMTRTSTT,Treatment Setting,,text,ADJUVANT,,,,4,,
CMTRTSTT,Treatment Setting,,text,LOCALLY ADVANCED,,,,5,,
COUNTRY,Country,,text,AUS,,Australia,,1,,
COUNTRY,Country,,text,BEL,,Belgium,,2,,
COUNTRY,Country,,text,FRA,,France,,3,,
COUNTRY,Country,,text,DEU,,Germany,,4,,
COUNTRY,Country,,text,HKG,,Hong Kong,,5,,
COUNTRY,Country,,text,HUN,,Hungary,,6,,
COUNTRY,Country,,text,NZL,,New Zealand,,7,,
COUNTRY,Country,,text,POL,,Poland,,8,,
COUNTRY,Country,,text,PRT,,Portugal,,9,,
COUNTRY,Country,,text,SGP,,Singapore,,10,,
COUNTRY,Country,,text,KOR,,"
South Korea",,11,,
COUNTRY,Country,,text,ESP,,Spain,,12,,
COUNTRY,Country,,text,TWN,,Taiwan,,13,,
COUNTRY,Country,,text,THA,,Thailand,,14,,
COUNTRY,Country,,text,GBR,,United Kingdom,,15,,
COUNTRY,Country,,text,USA,,United States of America,,16,,
DATEFL,Date Imputation Flag,C81223,text,D,C81212,Day is imputed.,,1,,
DATEFL,Date Imputation Flag,C81223,text,M,C81211,Month and day are imputed.,,2,,
DATEFL,Date Imputation Flag,C81223,text,Y,C81210,Entire date is imputed.,,3,,
DCRREAS,Radiographic FU Termination Reason,,text,PROGRESSIVE DISEASE,,Radiographic progression,1,1,,
DCRREAS,Radiographic FU Termination Reason,,text,NO LONGER CLINICALLY BENEFITING,,Clinical deterioration,2,2,,
DCRREAS,Radiographic FU Termination Reason,,text,COMPLETED,,Completed per protocol,3,3,,
DCRREAS,Radiographic FU Termination Reason,,text,WITHDRAWAL BY SUBJECT,,Withdrew consent,4,4,,
DCRREAS,Radiographic FU Termination Reason,,text,LOST TO FOLLOW-UP,,Lost to follow-up,5,5,,
DCRREAS,Radiographic FU Termination Reason,,text,DEATH,,Death,6,6,,
DCRREAS,Radiographic FU Termination Reason,,text,OTHER,,Other,7,7,,
DCRREAS,Radiographic FU Termination Reason,,text,,,Missing/ data not yet received,8,8,,
DCSREAS,Study Termination Reason,,text,DEATH,,Death,1,1,,
DCSREAS,Study Termination Reason,,text,WITHDRAWAL BY SUBJECT,,Withdrew consent,2,2,,
DCSREAS,Study Termination Reason,,text,LOST TO FOLLOW-UP,,Lost to follow-up,3,3,,
DCSREAS,Study Termination Reason,,text,SPONSOR REQUEST,,Sponsor decision,4,4,,
DCSREAS,Study Termination Reason,,text,OTHER,,Other,5,5,,
DCSREAS,Study Termination Reason,,text,,,Missing/ data not yet received,6,6,,
DCTREAS,Treatment Termination Reason,,text,PROGRESSIVE DISEASE,,Radiographic progression,1,1,,
DCTREAS,Treatment Termination Reason,,text,ADVERSE EVENT,,Adverse event,2,2,,
DCTREAS,Treatment Termination Reason,,text,LACK OF CLINICAL BENEFIT,,Lack of clinical benefit,3,3,,
DCTREAS,Treatment Termination Reason,,text,WITHDRAWAL BY SUBJECT,,Withdrew consent,4,4,,
DCTREAS,Treatment Termination Reason,,text,LOST TO FOLLOW-UP,,Lost to follow-up,5,5,,
DCTREAS,Treatment Termination Reason,,text,PROTOCOL DEVIATION,,Protocol deviation,6,6,,
DCTREAS,Treatment Termination Reason,,text,SPONSOR REQUEST,,Sponsor decision,7,7,,
DCTREAS,Treatment Termination Reason,,text,SUBJECT REQUEST,,Subject request,8,8,,
DCTREAS,Treatment Termination Reason,,text,COMPLETED,,Completed Study Treatment,9,9,,
DCTREAS,Treatment Termination Reason,,text,OTHER,,Other,10,10,,
DCTREAS,Treatment Termination Reason,,text,,,Missing/ data not yet received,11,11,,
DTHPER,Death Period (30 Days),,text,<= 30 days,,,,1,,
DTHPER,Death Period (30 Days),,text,> 30 days,,,,2,,
DTHPER2,Death Period (100 Days),,text,<= 135 days,,,,1,,
DTHPER2,Death Period (100 Days),,text,> 135 days,,,,2,,
DTHPER3,Death Period (100 Days),,text,<= 100 days,,,,,,
DTHPER3,Death Period (100 Days),,text,> 100 days,,,,,,
DTYPLB,Derivation Type for ADLB,,text,ULOQ,,Upper Limit of Quantification,,2,,
DTYPLB,Derivation Type for ADLB,,text,LLOQ,,Lower Limit of Quantification,,1,,
ECADJ,Reason for Dose Adjustment,,text,PERMANENT TREATMENT DISCONTINUATION,,,,1,,
ECADJ,Reason for Dose Adjustment,,text,ADVERSE EVENT,,,,2,,
ECADJ,Reason for Dose Adjustment,,text,SUBJECT NON-COMPLIANCE OTHER THAN AE,,,,3,,
ECADJ,Reason for Dose Adjustment,,text,SITE/LOGISTICAL ERROR,,,,4,,
ECADJ,Reason for Dose Adjustment,,text,TREATMENT RESUMED/RE-ESCALATED,,,,5,,
ECADJ,Reason for Dose Adjustment,,text,TREATMENT CYCLE COMPLETED,,,,6,,
ECADJ,Reason for Dose Adjustment,,text,OTHER,,,,7,,
ECDOSU,Dose Unit,C71620,text,mg,C28253,,,1,,
ECDOSFRM,Dose Form,C66726,text,INFUSION,C42946,,,1,,
ECDOSFRM,Dose Form,C66726,text,TABLET,C42998,,,2,,
ECDOSFRQ,Dosing Frequency per Interval,C71113,text,Q3W,C64535,Every 3 weeks,,1,,
ECDOSFRQ,Dosing Frequency per Interval,C71113,text,Q4W,,Every 4 weeks,,2,,
ECDOSFRQ,Dosing Frequency per Interval,C71113,text,QOD,,Every other day,,4,,
ECDOSFRQ,Dosing Frequency per Interval,C71113,text,QD,C25473,Daily,,2,,
ECROUTE,Route of Administration,C66729,text,ORAL,C38288,,,1,,
ECROUTE,Route of Administration,C66729,text,INTRAVENOUS,C38276,,,2,,
ECTRT,Treatment,,text,Nivolumab,,Nivolumab,,1,,
ECTRT,Treatment,,text,XL092,,XL092,,2,,
ECTRT,Treatment,,text,Ipilimumab,,Ipilimumab,,3,,
ECTRT,Treatment,,text,Relatlimab,,Relatlimab,,4,,
ENTPT,Relation to Reference Period,C66728,text,ONGOING,C53279,,,1,,
ETHNIC,Ethnicity,C66790,text,HISPANIC OR LATINO,C17459,Hispanic or Latino,,1,,
ETHNIC,Ethnicity,C66790,text,NOT HISPANIC OR LATINO,C41222,Not Hispanic or Latino,,2,,
ETHNIC,Ethnicity,C66790,text,NOT REPORTED,C43234,Not Reported,,3,,
LBSPEC,Lab Specimen Type,C78734,text,PLASMA,C13356,,,2,,
LBSPEC,Lab Specimen Type,C78734,text,BLOOD,C12434,,,1,,
LBSPEC,Lab Specimen Type,C78734,text,SERUM,C13325,,,3,,
LBSPEC,Lab Specimen Type,C78734,text,URINE,C13283,,,4,,
LBP1CAT,ADLB Parameter Category 1,,text,CHEMISTRY,,,,1,,
LBP1CAT,ADLB Parameter Category 1,,text,COAGULATION,,,,2,,
LBP1CAT,ADLB Parameter Category 1,,text,HEMATOLOGY,,,,3,,
LBP1CAT,ADLB Parameter Category 1,,text,PREGNANCY,,,,4,,
LBP1CAT,ADLB Parameter Category 1,,text,TUMOR MARKER,,,,5,,
LBP1CAT,ADLB Parameter Category 1,,text,URINE CHEMISTRY,,,,6,,
LBP1CAT,ADLB Parameter Category 1,,text,URINE CHEMISTRY - 24 HOUR,,,,7,,
MMRSTAT,MMR Status,,text,MMR PROFICIENT,,MMR proficient,,1,,
MMRSTAT,MMR Status,,text,MMR DEFICIENT,,MMR deficient,,2,,
MMRSTAT,MMR Status,,text,UNKNOWN,,Unknown,,3,,
MSICAT,MSI Status Category,,text,MSI-Low/MSS,,,,1,,
MSICAT,MSI Status Category,,text,MSI-High,,,,2,,
MSICAT,MSI Status Category,,text,Unknown,,,,3,,
MSISTAT,MSI Status,,text,MSS,,MSS,,1,,
MSISTAT,MSI Status,,text,MSI-LOW,,MSI-Low,,2,,
MSISTAT,MSI Status,,text,MSI-HIGH,,MSI-High,,3,,
MSISTAT,MSI Status,,text,UNKNOWN,,Unknown,,4,,
NRIND,Reference Range Indicator,C78736,text,HIGH,C78800,,,1,,
NRIND,Reference Range Indicator,C78736,text,LOW,C78801,,,2,,
NRIND,Reference Range Indicator,C78736,text,NORMAL,C78727,,,3,,
NY,No Yes Response,C66742,text,Y,C49488,Yes,,1,,
NY,No Yes Response,C66742,text,N,C49487,No,,2,,
NYU,No Yes Unknown Response,C66742,text,Y,C49488,Yes,,1,,
NYU,No Yes Unknown Response,C66742,text,N,C49487,No,,2,,
NYU,No Yes Unknown Response,C66742,text,U,C17998,Unknown,,3,,
PARBASE,ADBASE Parameters,,text,BONEDXYN,,Bone-Only Disease,1,1,,
PARBASE,ADBASE Parameters,,text,BRMYN,,Brain\cranial Metastases Present?,2,2,,
PARBASE,ADBASE Parameters,,text,CDHSFP,,Percentage of Sarcomatoid Feature,3,3,,
PARBASE,ADBASE Parameters,,text,CDHSFYN,,Sarcomatoid Feature,4,4,,
PARBASE,ADBASE Parameters,,text,CHDTC,,Date/Time of Initial Diagnosis,5,5,,
PARBASE,ADBASE Parameters,,text,CHSTAGE,,Current Disease Stage / Cancer Stage,6,6,,
PARBASE,ADBASE Parameters,,text,DIAGDURY,,Duration from Initial Diagnosis to First Dose (years),7,7,,
PARBASE,ADBASE Parameters,,text,HISTSP,,"Histology Other, Specify",8,8,,
PARBASE,ADBASE Parameters,,text,HISTTYPC,,Histology Type,9,9,,
PARBASE,ADBASE Parameters,,text,IMDCPSC,,IMDC Prognostic Score,10,10,,
PARBASE,ADBASE Parameters,,text,LDRPDDTC,,Date of Recurrence/Progression,11,11,,
PARBASE,ADBASE Parameters,,text,MCRPCDTC,,Date/Time of Diagnosis of MCRPC,12,12,,
PARBASE,ADBASE Parameters,,text,NSITEBL,,Num Non-Target Tumor Sites at BL,13,13,,
PARBASE,ADBASE Parameters,,text,NTSITEBL,,Num Target Tumor Sites at BL,14,14,,
PARBASE,ADBASE Parameters,,text,PACTLINE,,Prior Lines of Therapy,15,15,,
PARBASE,ADBASE Parameters,,text,PACYN,,Diagnosed with Prostate Adenocarcinoma,16,16,,
PARBASE,ADBASE Parameters,,text,PCTTOTRT,,Time from End PACT to Treatment Start,17,17,,
PARBASE,ADBASE Parameters,,text,PDL1YN,,Previous Immune Checkpoint Inhibitor,18,18,,
PARBASE,ADBASE Parameters,,text,PDTOTRT,,Time from PD on PACT to Treatment Start,19,19,,
PARBASE,ADBASE Parameters,,text,PRGLSC,,Primary Gleason Score at Diagnosis,20,20,,
PARBASE,ADBASE Parameters,,text,PSAPDYN,,PSA Progression at Screening,21,21,,
PARBASE,ADBASE Parameters,,text,RGNUM,,Number of Prior Anti-Cancer Regimens,22,22,,
PARBASE,ADBASE Parameters,,text,RNLPRYN,,Nephrectomy Performed,23,23,,
PARBASE,ADBASE Parameters,,text,SEGLSC,,Secondary Gleason Score at Diagnosis,24,24,,
PARBASE,ADBASE Parameters,,text,STPDYN,,Soft Tissue PD at Screening,25,25,,
PARBASE,ADBASE Parameters,,text,SUBTUMOR,,Tumor Sub Type,26,26,,
PARBASE,ADBASE Parameters,,text,TOTGLSC,,Total Gleason Score,27,27,,
PARBASE,ADBASE Parameters,,text,TSITEBL,,Num of Tumor Sites at BL,28,28,,
PARBASE,ADBASE Parameters,,text,TUMOR,,Pathological Diagnosis Tumor Type,29,29,,
PARBASE,ADBASE Parameters,,text,TUMORSP,,"Tumor Other, Specify",30,30,,
PARCH,ADCH Parameters,,text,BONEDXYN ,,Bone-Only Disease ,1,1,,"ML 03/30/2023: Codelist is incorrect for 092-002 study. Please update as per the study.
MS 04/03/2023: Updated"
PARCH,ADCH Parameters,,text,BRMYN    ,,Brain\cranial Metastases Present? ,2,2,,
PARCH,ADCH Parameters,,text,CDHSFYN  ,,Sarcomatoid Feature ,3,3,,
PARCH,ADCH Parameters,,text,CHDTC    ,,Date/Time of Initial Diagnosis ,4,4,,
PARCH,ADCH Parameters,,text,HISTSP   ,,"Histology Other, Specify ",5,5,,
PARCH,ADCH Parameters,,text,HISTTYPC ,,Histology Type ,6,6,,
PARCH,ADCH Parameters,,text,IMDCPSC  ,,IMDC Prognostic Score ,7,7,,
PARCH,ADCH Parameters,,text,LDRPDDTC ,,Date of Recurrence/Progression ,8,8,,
PARCH,ADCH Parameters,,text,MCRPCDTC ,,Date/Time of Diagnosis of MCRPC ,9,9,,
PARCH,ADCH Parameters,,text,PACYN   ,,Diagnosed with Prostate Adenocarcinoma ,10,10,,
PARCH,ADCH Parameters,,text,PRGLSC  ,,Primary Gleason Score at Diagnosis ,11,11,,
PARCH,ADCH Parameters,,text,PSAPDYN ,,PSA Progression at Screening ,12,12,,
PARCH,ADCH Parameters,,text,RNLPRYN ,,Nephrectomy Performed ,13,13,,
PARCH,ADCH Parameters,,text,SEGLSC  ,,Secondary Gleason Score at Diagnosis ,14,14,,
PARCH,ADCH Parameters,,text,STAGE   ,,Current Disease Stage / Cancer Stage ,15,15,,
PARCH,ADCH Parameters,,text,STPDYN  ,,Soft Tissue PD at Screening ,16,16,,
PARCH,ADCH Parameters,,text,SUBTUMOR,,Tumor Sub Type ,17,17,,
PARCH,ADCH Parameters,,text,TOTGLSC ,,Total Gleason Score ,18,18,,
PARCH,ADCH Parameters,,text,TUMOR   ,,Pathological Diagnosis Tumor Type ,19,19,,
PARCH,ADCH Parameters,,text,TUMORSP ,,"Tumor Other, Specify ",20,20,,
PARCH,ADCH Parameters,,text,CDHSFP,,Percentage of Sarcomatoid Feature,21,21,,
PARCH,ADCH Parameters,,text,PDL1YN,,Previous Immune Checkpoint Inhibitor,22,22,,
PAREX,ADEX Parameters,,text,TDDOSE,,Total Daily Dose (mg),1,1,,
PAREXS,ADEXSUM Parameters,,text,XLTRDURD,,Duration of Exposure for XL092 (Days),1,1,,
PAREXS,ADEXSUM Parameters,,text,XLTRDURM,,Duration of Exposure for XL092 (Months),2,2,,
PAREXS,ADEXSUM Parameters,,text,XLCUMDOS,,Cumulative Dose of XL092 (mg),3,3,,
PAREXS,ADEXSUM Parameters,,text,XLDOSAVG,,Average Daily Dose of XL092 (mg/day),4,4,,
PAREXS,ADEXSUM Parameters,,text,XLDOSINT,,Percent Dose Intensity for XL092 (%),5,5,,
PAREXS,ADEXSUM Parameters,,text,DURTDH,,Duration of Total Dose Hold (Days),6,6,,
PAREXS,ADEXSUM Parameters,,text,DUREHLD,,Duration of Exp Exc. Dose Hold (Months),7,7,,
PAREXS,ADEXSUM Parameters,,text,XLADINT,,Actual Dose Int XL092 (mg/week),8,8,,
PAREXS,ADEXSUM Parameters,,text,XAEREDS,,Number of AE Dose Reductions for XL093,9,9,,
PAREXS,ADEXSUM Parameters,,text,XNDOSRED,,Number of Dose Reductions for XL093,10,10,,
PAREXS,ADEXSUM Parameters,,text,XTT1RED,,Time to 1st Dose Red for XL092 (Days),11,11,,
